# HKSCS-2016 augmentation supplement (authoritative, generated).
# Missing HKSCS Han characters with official Quick code and toneless
# Jyutping readings. Fields: chinese, code_point, quick_code, jyutping.
chinese,code_point,quick_code,jyutping
㯝,U+3BDD,dr,lou
㯬,U+3BEC,dq,lim
㯲,U+3BF2,df,gam
㯳,U+3BF3,dk,king
㯴,U+3BF4,dr,jung
㰍,U+3C0D,yd,lung
㰑,U+3C11,dd,saam
㰕,U+3C15,ds,hei
㰘,U+3C18,dt,ji
㱔,U+3C54,yi,se
㲋,U+3C8B,np,coek
㳋,U+3CCB,em,jau
㳍,U+3CCD,eb,bou
㳑,U+3CD1,et,jat
㳖,U+3CD6,ev,ji
㳜,U+3CDC,ed,jau
㳫,U+3CEB,ex,zaam
㳯,U+3CEF,ej,san
㴒,U+3D12,et,jik
㴓,U+3D13,ep,saai
㴲,U+3D32,eu,si
㴻,U+3D3B,ei,syu
㵆,U+3D46,er,gou
㵌,U+3D4C,eu,ceon
㵎,U+3D4E,eb,gaan
㵑,U+3D51,ec,ho
㵟,U+3D5F,ek,
㵢,U+3D62,ew,leoi
㵩,U+3D69,ed,jai
㵪,U+3D6A,eo,jin
㵯,U+3D6F,ef,fung
㵵,U+3D75,eo,zau
㵽,U+3D7D,ew,leoi
㶅,U+3D85,ed,hok
㶈,U+3D88,ei,jing
㶊,U+3D8A,ec,can
㶏,U+3D8F,ep,
㶑,U+3D91,eo,lim
㶥,U+3DA5,fj,gon
㶭,U+3DAD,fs,jau
㶴,U+3DB4,fn,ci
㶿,U+3DBF,fd,but
㷆,U+3DC6,fj,fau
㷇,U+3DC7,nf,fui
㷉,U+3DC9,si,wai;wat;wan
㷌,U+3DCC,fb,zau
㷍,U+3DCD,fb,leon
㷓,U+3DD3,fp,zung
㷛,U+3DDB,of,
㷧,U+3DE7,ff,
㷨,U+3DE8,fj,fung
㷫,U+3DEB,gf,
㷳,U+3DF3,mf,ngon;on
㷴,U+3DF4,mf,lik
㷷,U+3DF7,fc,zeon
㷼,U+3DFC,tf,jin
㷽,U+3DFD,fr,sin
㸆,U+3E06,fy,kaau
㹀,U+3E40,hd,bui
㹃,U+3E43,lq,
㹈,U+3E48,jq,mou
㹕,U+3E55,mq,waan
㹴,U+3E74,kk,gang
㺨,U+3EA8,mi,si
㺩,U+3EA9,ml,gau
㺪,U+3EAA,my,pok
㺭,U+3EAD,md,zi
㺱,U+3EB1,oi,jing
㺸,U+3EB8,oi,ping
㺿,U+3EBF,ml,ji
㻂,U+3EC2,mt,ping
㻇,U+3EC7,mg,cyun
㻊,U+3ECA,mu,mun
㻌,U+3ECC,md,tou
㻐,U+3ED0,me,ceon
㻑,U+3ED1,md,gwai
㻖,U+3ED6,me,doi
㻗,U+3ED7,li,pui
㻚,U+3EDA,mb,pang
㻛,U+3EDB,mh,ji
㻞,U+3EDE,mb,ban
㻡,U+3EE1,md,sit
㻢,U+3EE2,md,si
㻧,U+3EE7,md,do
㻩,U+3EE9,mc,gim
㻫,U+3EEB,mj,bit;bat
㻬,U+3EEC,ms,tou
㻰,U+3EF0,mm,wai
㻳,U+3EF3,mn,lei
㻴,U+3EF4,me,maan
㻺,U+3EFA,mi,lik
㻼,U+3EFC,mj,taam
㻿,U+3EFF,mi,suk
㼀,U+3F00,mq,daat
㼄,U+3F04,mw,gei
㼆,U+3F06,mg,jing
㼇,U+3F07,ms,king
㼎,U+3F0E,hk,bok
㽓,U+3F53,hm,san
㽘,U+3F58,wn,gong
㽙,U+3F59,wu,zeon
㽣,U+3F63,wm,wik
㽼,U+3F7C,kl,jan
㾓,U+3F93,kb,jyun
㿀,U+3FC0,kg,baan
㿈,U+3FC8,kg,jung
㿗,U+3FD7,kc,teoi
㿜,U+3FDC,kb,bit
㿥,U+3FE5,hg,hok
㿭,U+3FED,he,
㿹,U+3FF9,dq,taat
㿺,U+3FFA,ae,
䀄,U+4004,jt,mung
䀉,U+4009,ht,kiu
䀝,U+401D,bp,bei
䀹,U+4039,bo,
䁅,U+4045,bt,maang
䁓,U+4053,be,
䁗,U+4057,bt,hoi
䁢,U+4062,bo,syun
䁥,U+4065,br,nik;lik
䁪,U+406A,bl,
䁯,U+406F,bm,hap
䁱,U+4071,bu,kau
䂨,U+40A8,my,cik
䂴,U+40B4,mr,jin
䂻,U+40BB,mv,zaang
䂿,U+40BF,ma,daap
䃈,U+40C8,ma,gaai
䃘,U+40D8,mg,hang
䃟,U+40DF,mk,
䃸,U+40F8,mm,cim
䃺,U+40FA,my,mo
䄂,U+4102,iw,lau
䄃,U+4103,ik,joeng
䄄,U+4104,ik,jan
䄉,U+4109,ii,ngo;o
䄎,U+410E,ir,kei
䄱,U+4131,hs,fong
䄲,U+4132,hb,jeoi
䅧,U+4167,ha,jim
䅬,U+416C,ht,aai;ngaai
䅮,U+416E,hr,cong
䅼,U+417C,he,maan
䅿,U+417F,hj,waa
䆁,U+4181,hj,gou
䆐,U+4190,qd,gwok;gok
䆲,U+41B2,je,kwaang
䇄,U+41C4,yn,hat;ngat
䇊,U+41CA,yi,
䇏,U+41CF,yd,deoi
䇛,U+41DB,hm,zi
䇭,U+41ED,hp,lou
䇯,U+41EF,hj,jung
䇹,U+41F9,hr,
䈑,U+4211,hr,gwaa
䈣,U+4223,hk,zing
䉀,U+4240,hf,syu
䉠,U+4260,hk,mei
䉪,U+426A,hw,leoi
䉶,U+4276,he,soeng
䉺,U+427A,fm,hung;hong
䊌,U+428C,fp,bei
䊔,U+4294,fk,jing
䊢,U+42A2,vd,zoeng
䊵,U+42B5,vn,kau
䊹,U+42B9,vj,cin
䊼,U+42BC,vm,ci
䋴,U+42F4,vd,nau;lau
䋻,U+42FB,vj,nam;lam
䋼,U+42FC,vt,ting
䌊,U+430A,vu,jau
䌫,U+432B,vu,laam
䍮,U+436E,to,siu
䎗,U+4397,hm,kiu
䎚,U+439A,sp,wai
䎺,U+43BA,sn,zai
䏁,U+43C1,sj,zoi
䏙,U+43D9,bu,dam
䏟,U+43DF,bh,bit
䏭,U+43ED,bd,zyu
䏰,U+43F0,bp,jeon
䏲,U+43F2,bh,
䐁,U+4401,bo,duk
䐂,U+4402,be,luk
䐓,U+4413,bc,jau
䐥,U+4425,bm,ung;ngung;ong;ngong
䐭,U+442D,bb,zai
䑺,U+447A,hi,faan
䒏,U+448F,cu,zang
䒑,U+4491,xt,baat
䒟,U+449F,ty,daan
䒠,U+44A0,tj,fung
䒢,U+44A2,tl,ngong;ong
䒰,U+44B0,tg,hong
䒷,U+44B7,tr,
䒽,U+44BD,tk,mong
䓀,U+44C0,tr,gat
䓃,U+44C3,tu,jap
䓅,U+44C5,tl,kan
䓎,U+44CE,ti,cuk
䓝,U+44DD,tt,
䓞,U+44DE,tk,leoi
䓟,U+44DF,tr,zau
䓡,U+44E1,tr,zi
䓤,U+44E4,tp,fat
䓩,U+44E9,te,zi
䓪,U+44EA,th,
䓫,U+44EB,tr,kei
䓬,U+44EC,tj,
䓴,U+44F4,tk,jyun
䔃,U+4503,tm,zou
䔄,U+4504,tu,jiu
䔉,U+4509,td,lik
䔋,U+450B,th,so
䔖,U+4516,te,ling
䔛,U+451B,tc,
䔝,U+451D,tf,zaai
䔧,U+4527,td,lei
䔮,U+452E,tl,si
䔳,U+4533,tf,jin
䔶,U+4536,to,tai
䔻,U+453B,tk,deon
䔽,U+453D,tv,oi;ngoi
䔿,U+453F,ti,zyun
䕃,U+4543,ti,jam
䕑,U+4551,tv,seoi
䕒,U+4552,tr,gaa
䕕,U+4555,te,maan
䕘,U+4558,tc,ling
䕜,U+455C,tj,ceoi
䕡,U+4561,tr,leoi
䕢,U+4562,tm,zaa
䕪,U+456A,tj,zaak
䕭,U+456D,tf,
䕷,U+4577,tf,mei
䕸,U+4578,tr,gaai
䖅,U+4585,tm,ling
䖦,U+45A6,lu,wat
䖳,U+45B3,lp,
䗚,U+45DA,li,bok
䗩,U+45E9,lf,cik
䗪,U+45EA,ii,ze
䘃,U+4603,lg,mak
䘆,U+4606,lp,
䘏,U+460F,hl,seot
䘕,U+4615,hn,hong
䘗,U+4617,hn,fai
䙛,U+465B,lv,gwan
䙺,U+467A,fu,lim
䚀,U+4680,hu,cam;laam
䚡,U+46A1,np,soi
䚮,U+46AE,ys,jing
䚻,U+46BB,br,jiu
䛏,U+46CF,yp,nai;lai
䛐,U+46D0,sr,ci
䛵,U+46F5,ye,sau
䛷,U+46F7,yu,jyun
䜓,U+4713,yd,sip
䜘,U+4718,yk,ging
䜶,U+4736,mq,gong
䝄,U+4744,me,soeng
䝎,U+474E,mb,teon
䝏,U+474F,mv,lau
䝼,U+477C,bb,
䞘,U+4798,gn,gat
䞦,U+47A6,gr,haak
䟕,U+47D5,ri,caa
䟭,U+47ED,rs,tiu
䟴,U+47F4,rv,an;ngan;jan
䠀,U+4800,rr,
䠋,U+480B,rj,pe
䠷,U+4837,ho,tiu
䡝,U+485D,ju,jyun
䡱,U+4871,jr,zyun
䢛,U+489B,yr,gwing
䢭,U+48AD,yo,jin
䢮,U+48AE,yw,leoi
䣐,U+48D0,tl,jing
䣝,U+48DD,sl,tou
䣭,U+48ED,mk,jau
䣳,U+48F3,mr,si
䣺,U+48FA,mb,gyun
䤆,U+4906,mk,kwai
䤑,U+4911,mc,ong;ngong
䤞,U+491E,cu,wan
䤥,U+4925,cu,gwai
䤪,U+492A,cd,do;doe
䤭,U+492D,cb,sik
䤯,U+492F,ch,jing
䤰,U+4930,gc,jing
䤵,U+4935,cy,fei
䤼,U+493C,ce,sin
䤾,U+493E,cx,tou
䥅,U+4945,jc,kam
䥑,U+4951,cn,faan
䥓,U+4953,cg,gei
䥥,U+4965,cc,lim
䥪,U+496A,cf,hin
䥲,U+4972,co,au;ngau
䦉,U+4989,sc,
䦡,U+49A1,ar,wun
䦧,U+49A7,au,jik
䧟,U+49DF,nx,haam
䧥,U+49E5,np,wai
䧧,U+49E7,ni,ngai;ai
䨏,U+4A0F,mo,ci
䨝,U+4A1D,mb,cing
䨤,U+4A24,mw,dik
䨵,U+4A35,mj,daam
䪖,U+4A96,de,pok;fuk
䪤,U+4AA4,lw,faan
䪴,U+4AB4,lc,zam
䪸,U+4AB8,rc,man
䫑,U+4AD1,kc,ji
䫤,U+4AE4,bc,mang
䫿,U+4AFF,hr,ciu
䬐,U+4B10,hv,jeoi
䬙,U+4B19,hu,jiu
䬠,U+4B20,mo,fei
䬬,U+4B2C,ok,joeng
䬷,U+4B37,on,se
䭯,U+4B6F,hu,but
䭰,U+4B70,hq,bung
䭲,U+4B72,hr,ji
䭻,U+4B7B,sh,fan
䭾,U+4B7E,sk,to;do
䮎,U+4B8E,sb,hei
䮐,U+4B90,sr,gwing
䮓,U+4B93,sj,zoek
䮖,U+4B96,sa,coeng
䮗,U+4B97,sj,ngon;on
䮝,U+4B9D,sj,wan
䮽,U+4BBD,sf,biu
䮾,U+4BBE,sp,pung
䯀,U+4BC0,sj,nip;lip
䰄,U+4C04,sp,soi
䰇,U+4C07,sa,kei
䰎,U+4C0E,sc,kwai;gwai
䰲,U+4C32,nu,aat;ngaat
䰻,U+4C3B,nk,jyu
䰾,U+4C3E,nu,
䱀,U+4C40,nk,joeng
䱇,U+4C47,nm,sin
䱗,U+4C57,yf,caan
䱛,U+4C5B,nm,
䱭,U+4C6D,nm,gang
䱷,U+4C77,yk,jyu
䱻,U+4C7B,nb,waat
䱽,U+4C7D,nr,
䲅,U+4C85,nu,kwai
䲮,U+4CAE,mf,jyun
䲰,U+4CB0,mf,wan
䲷,U+4CB7,hd,niu;liu;hiu
䳍,U+4CCD,tf,
䳡,U+4CE1,of,aan;ngaan
䳢,U+4CE2,tf,kei
䳭,U+4CED,af,zik
䴇,U+4D07,mf,ling
䴐,U+4D10,jf,bou
䴴,U+4D34,jr,tip
䵶,U+4D76,pu,keoi
䵷,U+4D77,gu,waa
䶉,U+4D89,hw,lau
䶑,U+4D91,ho,tai
䶜,U+4D9C,yr,guk
业,U+4E1A,tc,jip
东,U+4E1C,kd,dung
两,U+4E24,mb,loeng
个,U+4E2A,ol,go
丽,U+4E3D,mb,lai;lei
义,U+4E49,ik,ji;caa
争,U+4E89,nd,zang;zaang;caang
亘,U+4E98,mm,gang
亚,U+4E9A,mc,aa;ngaa
亿,U+4EBF,on,jik
从,U+4ECE,oo,cung;sung;zung
仪,U+4EEA,ok,ji
众,U+4F17,oo,zung
会,U+4F1A,oi,wui;kui;kwui
伩,U+4F29,,seon
侨,U+4FA8,ol,kiu
偬,U+506C,op,zung
傦,U+50A6,,gwat
兖,U+5156,yu,jin
兴,U+5174,fc,hing
兹,U+5179,ti,zi;ci
冈,U+5188,bk,gong
农,U+519C,lv,nung;lung
冮,U+51AE,,gong
冲,U+51B2,il,cung
决,U+51B3,ik,kyut;hyut
况,U+51B5,iu,fong
凉,U+51C9,if,loeng
减,U+51CF,ir,gaam
凑,U+51D1,ik,cau
凛,U+51DB,if,lam
凤,U+51E4,he,fung
凭,U+51ED,on,pang;peng;bang
删,U+5220,bn,saan
劏,U+528F,,tong
劚,U+529A,,zuk
务,U+52A1,hs,mou
动,U+52A8,ms,dung
医,U+533B,sk,ji;ai;ngai
华,U+534E,oj,waa;faa
卤,U+5364,yk,lou
卧,U+5367,,ngo;o
却,U+5374,gl,koek
厢,U+53A2,mu,soeng
厦,U+53A6,me,haa
厨,U+53A8,mi,cyu;ceoi
厩,U+53A9,mu,gau
厮,U+53AE,ml,si
叁,U+53C1,,saam
参,U+53C2,ih,caam;saam;sam;cam
双,U+53CC,ee,soeng;sung
发,U+53D1,fe,faat
变,U+53D8,ye,bin
叙,U+53D9,oe,zeoi
叠,U+53E0,em,dip;daap
叶,U+53F6,rj,jip;sip;hip
号,U+53F7,rs,hou
吣,U+5423,,cam
启,U+542F,ir,kai
吴,U+5434,rk,ng;m
咏,U+548F,re,wing
响,U+54CD,rr,hoeng
唨,U+5528,,zo
啳,U+5573,,kyun
嘡,U+5621,,tong
嚤,U+56A4,,mo
团,U+56E2,wh,tyun
园,U+56ED,wu,jyun
国,U+56FD,wi,gwok;gok
圕,U+5715,,syu
块,U+5757,gk,faai
坛,U+575B,gi,taan;taam
坟,U+575F,gk,fan
垊,U+578A,,man
垴,U+57B4,gk,nou;lou
埯,U+57EF,,am;ngam
堒,U+5812,,kwan
塇,U+5847,,syun
墙,U+5899,gw,coeng
声,U+58F0,gh,sing;seng
壳,U+58F3,gn,hok
处,U+5904,hy,cyu;syu
备,U+5907,hw,bei
夑,U+5911,,sit
够,U+591F,pn,gau
头,U+5934,yk,tau
奥,U+5965,hk,ou;ngou;juk
姹,U+59F9,vp,caa
婫,U+5A6B,,gwan
媪,U+5AAA,,ou;ngou
嫑,U+5AD1,,biu
嫓,U+5AD3,,pei
学,U+5B66,id,hok
宝,U+5B9D,ji,bou
实,U+5B9E,jk,sat
宪,U+5BAA,ju,hin
寿,U+5BFF,qi,sau
尔,U+5C14,nf,ji
屉,U+5C49,st,tai
届,U+5C4A,sw,gaai
属,U+5C5E,sb,suk;zuk
岚,U+5C9A,uk,laam
峂,U+5CC2,,tung
峕,U+5CD5,,si
峥,U+5CE5,ud,zang;zaang
嶎,U+5D8E,,wai
嶶,U+5DB6,,mei
帮,U+5E2E,qb,bong
幂,U+5E42,bb,mik
广,U+5E7F,xi,gwong;gong;jim;am;ngam
庆,U+5E86,ik,hing
庙,U+5E99,iw,miu
弥,U+5F25,nf,nei;lei;mei
强,U+5F3A,ni,koeng;goeng
彻,U+5F7B,hh,cit
徺,U+5FBA,,hiu
总,U+603B,cp,zung
悦,U+60A6,,jyut
惧,U+60E7,pc,geoi
惨,U+60E8,ph,caam
惩,U+60E9,hp,cing
愠,U+6120,,wan
慐,U+6150,,gung
懓,U+61D3,,oi;ngoi
戬,U+622C,mi,zin
护,U+62A4,qs,wu
担,U+62C5,qm,daam
拟,U+62DF,qo,ji
拥,U+62E5,qq,jung
挘,U+6318,,lyut
挱,U+6331,,so;saa
捤,U+6364,,mei
揻,U+63FB,,wai
揾,U+63FE,,wan
携,U+643A,qs,kwai
撑,U+6491,qq,caang
撶,U+64B6,,waa
擓,U+64D3,,kwaai
擡,U+64E1,,toi
斆,U+6586,,haau;hok
斋,U+658B,yl,zaai
无,U+65E0,mu,mou;mo
晋,U+664B,ma,zeon
晓,U+6653,au,hiu
朂,U+6702,,juk
朥,U+6725,,lou
条,U+6761,hd,tiu
枤,U+67A4,,dai
枬,U+67AC,,zin
栀,U+6800,du,zi
栍,U+680D,,sang
栐,U+6810,,wing
样,U+6837,dq,joeng
栾,U+683E,yd,lyun
桥,U+6865,dl,kiu
梦,U+68A6,di,mung
梽,U+68BD,,zi
棁,U+68C1,,zyut;tyut
椁,U+6901,dd,gwok;gok
椬,U+692C,,ji
樭,U+6A2D,,kei
橥,U+6A65,kd,zyu
橱,U+6A71,di,ceoi;cyu
橴,U+6A74,,zi
橺,U+6A7A,,gaan
櫉,U+6AC9,,cyu;ceoi
櫊,U+6ACA,,gok
欅,U+6B05,,geoi
殁,U+6B81,me,mut
毁,U+6BC1,he,wai
毜,U+6BDC,,hou
毡,U+6BE1,hr,zin
氲,U+6C32,,wan
氺,U+6C3A,,seoi
汉,U+6C49,ee,hon
汹,U+6C79,ek,hung
沟,U+6C9F,ei,kau;gau
沪,U+6CAA,es,wu
泪,U+6CEA,eu,leoi
济,U+6D4E,el,zai
涤,U+6DA4,ed,dik
涥,U+6DA5,,hang
渊,U+6E0A,el,jyun
渏,U+6E0F,,ji
温,U+6E29,,wan
溆,U+6E86,ee,zeoi
溋,U+6E8B,,jing
滚,U+6EDA,ev,gwan;kwan
滢,U+6EE2,eg,jing
滨,U+6EE8,ec,ban;hak
滩,U+6EE9,eg,taan
潜,U+6F5C,ea,cim
潴,U+6F74,ea,zyu
澝,U+6F9D,,ning;ling
濸,U+6FF8,,cong
灜,U+705C,,jing
灧,U+7067,,jim
灯,U+706F,fn,dang
灵,U+7075,sf,ling;leng
灾,U+707E,jf,zoi
灿,U+707F,fu,caan
炉,U+7089,fs,lou
点,U+70B9,yf,dim
炼,U+70BC,fd,lin
炽,U+70BD,fc,ci
烟,U+70DF,fk,jin;jan
焩,U+7129,,pang
焻,U+713B,,coeng
煱,U+7171,,wo
煵,U+7175,,naam;laam
煶,U+7176,,zik
煷,U+7177,,fo
熖,U+7196,,jim
熴,U+71B4,,kwan;gwan
燝,U+71DD,,ging
爎,U+720E,,liu
牜,U+725C,,ngau
牦,U+7266,hu,mou;lei
犭,U+72AD,,hyun
猪,U+732A,ka,zyu
猫,U+732B,kw,maau
猬,U+732C,kb,wai
献,U+732E,jk,hin
獈,U+7348,,jik
玺,U+73BA,ni,saai
珐,U+73D0,mi,faat
珯,U+73EF,,lou
琑,U+7411,,ciu
琒,U+7412,,fung
琷,U+7437,,kyut;co
琼,U+743C,mf,king
瑶,U+7476,mu,jiu
璍,U+748D,,jip
璤,U+74A4,,wai
璴,U+74B4,,co
甅,U+7505,,lei;ngaa
电,U+7535,lu,din
画,U+753B,mw,waak;waa
疍,U+758D,,daan
疱,U+75B1,ku,paau
疴,U+75B4,kr,o;ngo
痈,U+75C8,kq,jung
癳,U+7673,,lo
盖,U+76D6,tt,goi;koi;hap;gap
眦,U+7726,bp,zi;zaai
矾,U+77FE,mi,faan
砜,U+781C,mk,fung
砞,U+781E,,mut
砹,U+7839,,ngaai;aai
砽,U+783D,,jung
硓,U+7853,,lou
硔,U+7854,,hung
碍,U+788D,mi,ngoi;oi
碱,U+78B1,mr,gaan
碶,U+78B6,,kai
磗,U+78D7,,zyun
磘,U+78D8,,jiu
磮,U+78EE,,leon
礆,U+7906,,him;gaan
礳,U+7933,,mo
礶,U+7936,,gun;gwun
礼,U+793C,iu,lai
祢,U+7962,if,nei;lei;mei
禀,U+7980,yf,ban
禆,U+7986,,pei
禙,U+7999,,bui
秆,U+79C6,hj,gon
秌,U+79CC,,cau
秴,U+79F4,,hap
稆,U+7A06,hr,leoi
税,U+7A0E,,seoi
窃,U+7A83,jh,sit
窑,U+7A91,ju,jiu
竈,U+7AC8,,zou
笋,U+7B0B,hk,seon
笔,U+7B14,hu,bat
篐,U+7BD0,,ku;kwu
籂,U+7C42,,sik
籴,U+7C74,od,dek
类,U+7C7B,fk,leoi
籼,U+7C7C,fu,sin
粎,U+7C8E,,mai
粜,U+7C9C,ud,tiu
粬,U+7CAC,,kuk
粮,U+7CAE,fv,loeng
糇,U+7CC7,fk,hau
糉,U+7CC9,,zung
糹,U+7CF9,,mik;si
緐,U+7DD0,,po;faan
緔,U+7DD4,,soeng
縇,U+7E07,,syun
纟,U+7E9F,vm,mik;si
纤,U+7EA4,vj,cim;hin
纬,U+7EAC,vs,wai
纺,U+7EBA,vs,fong
织,U+7EC7,vc,zik;zi;ci
经,U+7ECF,vm,ging
统,U+7EDF,vu,tung
缆,U+7F06,vu,laam
罀,U+7F40,,siu
罓,U+7F53,,gong
耂,U+8002,,lou
耻,U+803B,sm,ci
联,U+8054,sk,lyun
聣,U+8063,,ngai;ai
肀,U+8080,,wat;leot;jyut
胆,U+80C6,bm,daam
胶,U+80F6,bk,gaau
脉,U+8109,be,mak
脔,U+8114,yo,lyun
脚,U+811A,bl,goek
脱,U+8131,,tyut
脷,U+8137,,lei
