# Quick character corpus derived from pinned rime-cangjie and rime-essay sources.
# Canonical Cangjie code is converted to first+last Quick code; reviewed HK rows are merged by text.
# rime-cangjie commit: 52d90a1b1312e74042b38c1cbc8142defbc53171; SHA-256: 18d989bf21d0bb86b402f18be4dd060bf2653896c95448afb01d4da2e6be5464
# rime-essay commit: 0debef3f5ae37f081758dd8bbd1fe79719410f7c; SHA-256: 4f32414039eb7f8a876acd8e94bd81c78fefafde56a352f7a3b8b2b74ca09c71
# Frequency units: 0.2000 + 0.6000 * count / (count + 10000), truncated to four decimals.
# Fields: char,quick_code,cangjie_code,freq,hk_core
char,quick_code,cangjie_code,freq,hk_core
曪,ag,awlg,0.2228,0
晊,ag,amig,0.2219,0
闉,ag,anmwg,0.2214,0
閵,ag,anog,0.2181,0
闛,ag,anfbg,0.2178,0
曤,ag,ambg,0.2174,0
圼,ag,ag,0.2157,0
堲,ag,alg,0.2156,0
晆,ag,agg,0.2131,0
垦,ag,avg,0.2053,0
易,ah,aphh,0.4473,0
影,ah,afhhh,0.3735,0
閉,ah,andh,0.2857,0
暘,ah,aamh,0.2331,0
昜,ah,amsh,0.2268,0
閁,ah,anh,0.2261,0
晹,ah,aaph,0.2249,0
昐,ah,acsh,0.2246,0
閟,ah,anph,0.2241,0
昣,ah,aohh,0.2225,0
尟,ah,aofh,0.2180,0
晜,ah,acnh,0.2169,0
閯,ah,anefh,0.2162,0
昒,ah,aphh,0.2160,0
曑,ah,aaah,0.2160,0
旫,ah,ash,0.2138,0
閕,ah,anmvh,0.2118,0
時,ai,agdi,0.7750,0
閥,ai,anoi,0.2716,0
閩,ai,anlmi,0.2608,0
旳,ai,api,0.2491,0
曇,ai,ambi,0.2383,0
閎,ai,anki,0.2338,0
闘,ai,anmti,0.2300,0
戥,ai,ami,0.2258,0
昡,ai,ayvi,0.2208,0
琞,ai,abmgi,0.2196,0
昖,ai,aci,0.2186,0
閠,ai,anmgi,0.2184,0
曧,ai,ambi,0.2160,0
昤,ai,aoii,0.2158,0
昿,ai,aii,0.2158,0
曯,ai,asei,0.2152,0
暷,ai,ajii,0.2149,0
閝,ai,anoii,0.2141,0
昙,ai,ammi,0.2002,0
暈,aj,abjj,0.6704,0
早,aj,aj,0.6340,0
聞,aj,ansj,0.3515,0
暉,aj,abjj,0.2699,0
旱,aj,amj,0.2573,0
闢,aj,ansrj,0.2530,0
曄,aj,atmj,0.2458,0
闡,aj,anrrj,0.2360,0
旰,aj,amj,0.2301,0
旪,aj,aj,0.2256,0
晫,aj,ayaj,0.2251,0
晬,aj,ayoj,0.2215,0
暔,aj,ajbj,0.2209,0
旿,aj,aoj,0.2204,0
昩,aj,adj,0.2204,0
曓,aj,auuj,0.2204,0
暤,aj,ahaj,0.2188,0
閈,aj,anmj,0.2187,0
暭,aj,ahaj,0.2186,0
閳,aj,anjwj,0.2182,0
暲,aj,aytj,0.2174,0
曅,aj,atmj,0.2156,0
曋,aj,amwj,0.2153,0
閛,aj,anmfj,0.2149,0
晘,aj,aamj,0.2122,0
曍,aj,ahuj,0.2117,0
暺,aj,arrj,0.2114,0
曎,aj,awlj,0.2112,0
映,ak,albk,0.2862,0
昊,ak,amk,0.2700,0
閔,ak,anyk,0.2607,0
旻,ak,ayk,0.2410,0
闞,ak,anmjk,0.2402,0
闋,ak,annok,0.2376,0
関,ak,antk,0.2372,0
闃,ak,anbuk,0.2351,0
暾,ak,aydk,0.2306,0
暌,ak,anok,0.2301,0
閺,ak,anayk,0.2260,0
敭,ak,ahok,0.2235,0
旼,ak,ayk,0.2235,0
暎,ak,atlk,0.2230,0
晸,ak,ammk,0.2214,0
猒,ak,abik,0.2182,0
晈,ak,ayck,0.2177,0
暯,ak,atak,0.2173,0
曒,ak,ahsk,0.2173,0
旲,ak,ak,0.2169,0
曮,ak,arrk,0.2161,0
曔,ak,atrk,0.2152,0
闙,ak,anhrk,0.2144,0
闝,ak,anbck,0.2107,0
即,al,aisl,0.5875,0
昂,al,ahvl,0.3081,0
閘,al,anwl,0.2673,0
昕,al,ahml,0.2601,0
曏,al,avhl,0.2567,0
晰,al,adhl,0.2390,0
昴,al,ahhl,0.2348,0
郿,al,aunl,0.2251,0
昻,al,amsl,0.2237,0
晣,al,aqhl,0.2216,0
鄤,al,aenl,0.2182,0
昦,al,akll,0.2178,0
星,am,ahqm,0.4391,0
暨,am,auam,0.3132,0
閆,am,anmmm,0.2663,0
旦,am,am,0.2618,0
昰,am,amym,0.2420,0
昀,am,apim,0.2407,0
暄,am,ajmm,0.2397,0
閾,am,anirm,0.2359,0
閂,am,anm,0.2319,0
曌,am,abjcm,0.2298,0
暒,am,aahm,0.2281,0
曡,am,aaam,0.2262,0
曐,am,aaam,0.2242,0
暅,am,apmm,0.2232,0
𣈶,am,apmm,0.2232,0
晅,am,amam,0.2223,0
閸,am,anmlm,0.2217,0
闟,am,anorm,0.2182,0
闒,am,anasm,0.2180,0
甠,am,ahqm,0.2171,0
暳,am,aqjm,0.2168,0
暡,am,acim,0.2162,0
暛,am,atqm,0.2140,0
門,an,an,0.5664,0
剔,an,ahln,0.2420,0
閌,an,anyhn,0.2339,0
閅,an,anmn,0.2320,0
旯,an,akn,0.2309,0
闁,an,anan,0.2237,0
昑,an,aoin,0.2191,0
昲,an,alln,0.2129,0
𨳊,an,ankn,0.2004,0
是,ao,amyo,0.7949,0
閃,ao,ano,0.3818,0
歇,ao,avno,0.2773,0
闕,ao,antuo,0.2508,0
晁,ao,almo,0.2389,0
閡,ao,anyvo,0.2329,0
曷,ao,apvo,0.2319,0
昃,ao,amo,0.2305,0
昳,ao,ahqo,0.2259,0
曚,ao,atbo,0.2258,0
閄,ao,ano,0.2241,0
閦,ao,anooo,0.2235,0
欥,ao,ano,0.2234,0
暶,ao,ayso,0.2186,0
晐,ao,ayvo,0.2184,0
暰,ao,ahoo,0.2184,0
暵,ao,atlo,0.2171,0
晀,ao,almo,0.2152,0
歞,ao,afno,0.2137,0
曬,ap,ammp,0.3708,0
悶,ap,anp,0.3663,0
昆,ap,app,0.2651,0
匙,ap,aop,0.2475,0
曨,ap,aybp,0.2224,0
惖,ap,ahp,0.2157,0
昵,ap,asp,0.2065,0
𨶙,ap,anibp,0.2004,0
𨳍,ap,anp,0.2001,0
闥,aq,anygq,0.2344,0
闈,aq,andmq,0.2341,0
韙,aq,aodmq,0.2319,0
暐,aq,admq,0.2269,0
曻,aq,aniq,0.2179,0
暽,aq,afdq,0.2115,0
問,ar,anr,0.8250,0
閣,ar,anher,0.3088,0
昭,ar,ashr,0.2796,0
闊,ar,anehr,0.2658,0
閤,ar,anomr,0.2564,0
晤,ar,ammr,0.2472,0
暱,ar,astr,0.2465,0
晗,ar,aoir,0.2434,0
晌,ar,ahbr,0.2372,0
閭,ar,anrr,0.2369,0
闆,ar,anrrr,0.2346,0
晷,ar,ahor,0.2303,0
晧,ar,ahgr,0.2250,0
誾,ar,anymr,0.2227,0
昫,ar,apr,0.2221,0
曕,ar,ancr,0.2202,0
晍,ar,abmr,0.2198,0
暿,ar,agrr,0.2197,0
晑,ar,ahbr,0.2195,0
閜,ar,anmnr,0.2170,0
晭,ar,abgr,0.2161,0
謈,ar,atcr,0.2136,0
昨,as,aos,0.2854,0
曦,as,atgs,0.2623,0
晟,as,aihs,0.2539,0
勖,as,auks,0.2336,0
昉,as,ayhs,0.2326,0
昘,as,ayhs,0.2250,0
昛,as,ass,0.2236,0
勗,as,abms,0.2213,0
晠,as,aihs,0.2206,0
昮,as,amks,0.2180,0
昈,as,ahs,0.2159,0
晇,as,akms,0.2149,0
開,at,anmt,0.7089,0
關,at,anvit,0.5342,0
昇,at,aht,0.3740,0
盟,at,abbt,0.2997,0
昱,at,ayt,0.2464,0
闔,at,angit,0.2376,0
閞,at,anit,0.2316,0
昪,at,ait,0.2270,0
暟,at,aumt,0.2248,0
闓,at,anumt,0.2247,0
曀,at,agbt,0.2236,0
昷,at,abt,0.2174,0
閚,at,anyt,0.2162,0
曥,at,aypt,0.2147,0
晚,au,anau,0.5279,0
既,au,aimvu,0.4998,0
冒,au,abu,0.3744,0
巴,au,au,0.3719,0
曉,au,aggu,0.3600,0
晃,au,afmu,0.3045,0
眉,au,ahbu,0.2993,0
閱,au,ancru,0.2737,0
閹,au,anklu,0.2456,0
冕,au,anau,0.2408,0
暁,au,ajtu,0.2296,0
闂,au,anfqu,0.2284,0
晩,au,anau,0.2281,0
闀,au,antcu,0.2263,0
晄,au,afmu,0.2240,0
晥,au,ajmu,0.2233,0
晛,au,abuu,0.2229,0
晻,au,aklu,0.2226,0
岊,au,auu,0.2221,0
晲,au,ahxu,0.2214,0
閊,au,anu,0.2207,0
晼,au,ajnu,0.2191,0
旽,au,apu,0.2189,0
昢,au,auu,0.2185,0
闚,au,anqou,0.2184,0
旵,au,au,0.2180,0
毷,au,auhqu,0.2178,0
覵,au,abbuu,0.2166,0
暚,au,abou,0.2162,0
鼂,au,amru,0.2149,0
毼,au,avhqu,0.2146,0
毾,au,amhqu,0.2144,0
閲,au,ancru,0.2010,0
晨,av,ammv,0.3124,0
晏,av,ajv,0.2555,0
艮,av,av,0.2450,0
閬,av,aniav,0.2339,0
曩,av,ayrv,0.2307,0
闄,av,anmwv,0.2288,0
曟,av,aaav,0.2275,0
暍,av,aapv,0.2246,0
妟,av,av,0.2212,0
闤,av,anwlv,0.2196,0
暥,av,aajv,0.2174,0
晒,aw,amcw,0.8450,1
闣,aw,anfbw,0.2174,0
閪,aw,anmcw,0.2031,0
閻,ax,annhx,0.2721,0
閰,ax,anhx,0.2260,0
晦,ay,aowy,0.2393,0
閼,ay,anysy,0.2330,0
昸,ay,ahey,0.2214,0
閇,ay,anmy,0.2206,0
暃,ay,almy,0.2182,0
月,b,b,0.7214,0
賭,ba,bcjka,0.3277,0
贈,ba,bccwa,0.2814,0
脂,ba,bpa,0.2727,0
睹,ba,bujka,0.2497,0
腊,ba,bta,0.2343,0
膾,ba,boma,0.2300,0
貊,ba,bhma,0.2275,0
瞺,ba,buoma,0.2239,0
眴,ba,bupa,0.2229,0
瞷,ba,buana,0.2225,0
睧,ba,buhpa,0.2193,0
腤,ba,byta,0.2192,0
睶,ba,buqka,0.2152,0
胉,ba,bha,0.2148,0
貃,ba,bhha,0.2137,0
膱,ba,byia,0.2133,0
賰,ba,bcqka,0.2001,0
骨,bb,bbb,0.3439,0
購,bb,bcttb,0.3331,0
肺,bb,bjb,0.3170,0
朋,bb,bb,0.2763,0
瞞,bb,butlb,0.2602,0
髓,bb,bbykb,0.2543,0
睛,bb,buqmb,0.2497,0
冪,bb,btab,0.2405,0
脯,bb,bijb,0.2379,0
膈,bb,bmrb,0.2377,0
賄,bb,bckb,0.2362,0
腈,bb,bqmb,0.2343,0
眀,bb,bub,0.2306,0
肭,bb,bob,0.2285,0
朤,bb,bbbb,0.2259,0
脪,bb,bkkb,0.2248,0
臑,bb,bmbb,0.2243,0
髃,bb,bbwlb,0.2241,0
冎,bb,bnb,0.2231,0
矊,bb,buvfb,0.2223,0
睎,bb,bukkb,0.2217,0
髄,bb,bbykb,0.2207,0
脼,bb,bmlb,0.2203,0
髇,bb,bbyrb,0.2198,0
膸,bb,bykb,0.2197,0
睄,bb,bufb,0.2195,0
腨,bb,bumb,0.2194,0
肎,bb,bb,0.2193,0
膼,bb,bybb,0.2179,0
幐,bb,bfqb,0.2178,0
膌,bb,bfcb,0.2178,0
貒,bb,bhumb,0.2178,0
腢,bb,bwlb,0.2176,0
腀,bb,bomb,0.2175,0
腣,bb,bybb,0.2175,0
瞯,bb,buanb,0.2174,0
爯,bb,bgb,0.2164,0
睊,bb,burb,0.2160,0
贎,bb,bctwb,0.2160,0
瞲,bb,bunhb,0.2156,0
豽,bb,bhob,0.2146,0
睔,bb,buomb,0.2139,0
眪,bb,bumob,0.2132,0
瞝,bb,buyub,0.2115,0
幂,bb,bakb,0.2059,0
矋,bb,bumtb,0.2016,0
賺,bc,bctxc,0.5254,0
具,bc,bmmc,0.3450,0
貝,bc,buc,0.3347,0
膩,bc,bipc,0.2914,0
冥,bc,bayc,0.2639,0
贖,bc,bcgwc,0.2453,0
臏,bc,bjmc,0.2340,0
瞑,bc,bubac,0.2328,0
瞋,bc,bujbc,0.2326,0
髕,bc,bbjmc,0.2321,0
腆,bc,btbc,0.2317,0
臁,bc,bitc,0.2309,0
贔,bc,bcbcc,0.2281,0
賸,bc,bfqc,0.2263,0
臢,bc,bhuc,0.2238,0
賏,bc,bcbuc,0.2231,0
胑,bc,brc,0.2200,0
臔,bc,bsec,0.2195,0
瞶,bc,bulmc,0.2191,0
膁,bc,btxc,0.2174,0
矉,bc,bujmc,0.2166,0
矌,bc,buitc,0.2161,0
瞚,bc,bujmc,0.2155,0
顐,bc,bjmbc,0.2152,0
膹,bc,bjtc,0.2145,0
頯,bc,btmbc,0.2138,0
鑍,bc,bcc,0.2136,0
瞔,bc,buqmc,0.2129,0
膭,bc,blmc,0.2129,0
顝,bc,bbmbc,0.2128,0
頱,bc,bimbc,0.2123,0
睓,bc,butbc,0.2122,0
貁,bc,bhjc,0.2118,0
賟,bc,bctbc,0.2117,0
爭,bd,bsd,0.3526,0
采,bd,bd,0.2950,0
睜,bd,bubsd,0.2590,0
眯,bd,bufd,0.2524,0
睬,bd,bubd,0.2479,0
孚,bd,bnd,0.2464,0
睏,bd,buwd,0.2457,0
脖,bd,bjbd,0.2457,0
髁,bd,bbwd,0.2365,0
臊,bd,brrd,0.2350,0
罙,bd,bcd,0.2322,0
脒,bd,bfd,0.2304,0
盱,bd,bumd,0.2282,0
貅,bd,bhod,0.2267,0
冞,bd,bfd,0.2240,0
眛,bd,bujd,0.2240,0
脬,bd,bbnd,0.2240,0
腂,bd,bwd,0.2217,0
脎,bd,bkd,0.2214,0
腜,bd,btmd,0.2214,0
胣,bd,bopd,0.2197,0
肔,bd,bpd,0.2184,0
貤,bd,bcpd,0.2182,0
賯,bd,bcpad,0.2171,0
賖,bd,bcomd,0.2169,0
腬,bd,bnhd,0.2163,0
覎,bd,bund,0.2162,0
瞸,bd,butpd,0.2161,0
賝,bd,bcbcd,0.2161,0
矂,bd,burrd,0.2158,0
榺,bd,bfqd,0.2149,0
骬,bd,bbmd,0.2130,0
瞇,bd,buyfd,0.2128,0
髍,bd,bbidd,0.2128,0
朜,bd,byrd,0.2119,0
冧,bd,bdd,0.2101,0
㬹,bd,bbsd,0.2000,0
愛,be,bbpe,0.6596,0
股,be,bhne,0.5824,0
受,be,bbe,0.5717,0
服,be,bsle,0.4128,0
腹,be,boae,0.2839,0
滕,be,bfqe,0.2644,0
膝,be,bdoe,0.2579,0
腺,be,bhae,0.2569,0
販,be,bche,0.2557,0
肢,be,bje,0.2456,0
脉,be,bine,0.2444,0
脲,be,bse,0.2420,0
骰,be,bbhne,0.2365,0
爰,be,bmke,0.2349,0
矍,be,buoge,0.2308,0
臌,be,bgte,0.2275,0
脙,be,bije,0.2261,0
脧,be,bice,0.2256,0
睃,be,buice,0.2248,0
睱,be,burse,0.2245,0
賕,be,bcije,0.2239,0
瞍,be,buhxe,0.2235,0
臒,be,btoe,0.2235,0
瞹,be,bubbe,0.2231,0
冦,be,bmue,0.2227,0
貑,be,bhrse,0.2226,0
皸,be,bjdhe,0.2225,0
冣,be,bsje,0.2222,0
膄,be,bhxe,0.2215,0
雘,be,bytoe,0.2214,0
腵,be,brse,0.2209,0
朘,be,bice,0.2205,0
骳,be,bbdhe,0.2202,0
睩,be,bunme,0.2200,0
眿,be,buine,0.2188,0
矆,be,butoe,0.2186,0
腶,be,bhje,0.2178,0
睖,be,bugce,0.2176,0
眅,be,buhe,0.2172,0
胈,be,bike,0.2172,0
腏,be,beee,0.2171,0
貱,be,bcdhe,0.2156,0
貜,be,bhbue,0.2138,0
朡,be,buce,0.2137,0
賐,be,bcice,0.2130,0
矎,be,bunbe,0.2102,0
𥄫,be,bunhe,0.2000,0
𦢊,be,bate,0.2000,0
爲,bf,bhnf,0.7728,0
縣,bf,bfhvf,0.4769,0
然,bf,bkf,0.4038,0
瞭,bf,bukcf,0.3661,0
鵬,bf,bbhf,0.3147,0
瞧,bf,buogf,0.3004,0
騰,bf,bfqf,0.3000,0
祭,bf,bommf,0.2765,0
瞅,bf,buhdf,0.2560,0
瞟,bf,bumwf,0.2498,0
鵰,bf,brhaf,0.2449,0
炙,bf,bf,0.2448,0
膘,bf,bmwf,0.2395,0
賒,bf,bcomf,0.2351,0
県,bf,buvf,0.2348,0
繇,bf,buhvf,0.2334,0
鷂,bf,buhaf,0.2332,0
冩,bf,bhxf,0.2331,0
鶻,bf,bbhaf,0.2327,0
鸚,bf,bvhaf,0.2319,0
鷄,bf,bkhaf,0.2292,0
腙,bf,bjmf,0.2286,0
黱,bf,bfqf,0.2286,0
賧,bf,bcff,0.2263,0
瞴,bf,buotf,0.2249,0
睒,bf,buff,0.2237,0
眎,bf,bummf,0.2233,0
縢,bf,bfqf,0.2222,0
鵩,bf,bsef,0.2212,0
鶤,bf,bjhaf,0.2204,0
肧,bf,bmf,0.2200,0
鵙,bf,bchaf,0.2192,0
膴,bf,botf,0.2188,0
煛,bf,buf,0.2186,0
腅,bf,bff,0.2182,0
鸎,bf,bchaf,0.2182,0
鸜,bf,bghaf,0.2178,0
膫,bf,bkcf,0.2174,0
矘,bf,bufbf,0.2171,0
鴡,bf,bmhaf,0.2166,0
膲,bf,bogf,0.2160,0
鴅,bf,byhaf,0.2149,0
鶢,bf,behaf,0.2148,0
矄,bf,buhgf,0.2146,0
脄,bf,bkf,0.2146,0
臕,bf,bipf,0.2144,0
鷪,bf,bubhf,0.2140,0
膆,bf,bqmf,0.2136,0
爒,bf,bfkcf,0.2135,0
臐,bf,bhgf,0.2133,0
瞗,bf,buhaf,0.2125,0
賩,bf,bcjmf,0.2121,0
鵎,bf,bvhaf,0.2112,0
臙,bf,btlf,0.2096,0
鶏,bf,bohaf,0.2041,0
䏡,bf,bmmf,0.2000,0
鶪,bf,bkhaf,0.2000,0
雞,bg,bkog,0.4094,0
腫,bg,bhjg,0.2828,0
肚,bg,bg,0.2686,0
瞳,bg,buytg,0.2622,0
雕,bg,brog,0.2572,0
瞿,bg,buog,0.2512,0
睦,bg,bugcg,0.2454,0
眶,bg,busmg,0.2413,0
墾,bg,bvg,0.2411,0
膛,bg,bfbg,0.2387,0
睢,bg,buog,0.2359,0
塍,bg,bfqg,0.2345,0
雎,bg,bmog,0.2340,0
眭,bg,bugg,0.2315,0
臃,bg,byvg,0.2306,0
瞠,bg,bufbg,0.2291,0
脡,bg,bnkg,0.2271,0
睚,bg,bumgg,0.2260,0
脽,bg,bog,0.2247,0
脭,bg,brhg,0.2244,0
賍,bg,bcig,0.2242,0
脞,bg,boog,0.2236,0
眰,bg,bumig,0.2226,0
膣,bg,bjcg,0.2222,0
矅,bg,busmg,0.2217,0
臞,bg,bbug,0.2206,0
睳,bg,bukgg,0.2205,0
腟,bg,bjmg,0.2204,0
臛,bg,bmbg,0.2200,0
朣,bg,bytg,0.2198,0
瞤,bg,buang,0.2196,0
胵,bg,bmig,0.2184,0
膧,bg,bytg,0.2173,0
腛,bg,bsmg,0.2169,0
胿,bg,bgg,0.2162,0
矐,bg,bumbg,0.2153,0
貛,bg,bhtrg,0.2146,0
膗,bg,buog,0.2145,0
睉,bg,buoog,0.2140,0
矔,bg,butrg,0.2137,0
髉,bg,bbobg,0.2132,0
睈,bg,burhg,0.2130,0
膶,bg,bang,0.2044,0
貍,bg,bhwg,0.2001,0
𥅾,bg,buig,0.2000,0
睇,bh,bucnh,0.8920,1
彩,bh,bdhhh,0.3375,0
財,bh,bcdh,0.3292,0
膠,bh,bsmh,0.3075,0
盼,bh,bucsh,0.2942,0
腸,bh,bamh,0.2855,0
賜,bh,bcaph,0.2723,0
彤,bh,byhhh,0.2626,0
膨,bh,bgth,0.2413,0
豺,bh,bhdh,0.2328,0
彫,bh,brhhh,0.2324,0
豸,bh,bshh,0.2324,0
胗,bh,bohh,0.2317,0
眇,bh,bufh,0.2301,0
肜,bh,bhhh,0.2295,0
髎,bh,bbsmh,0.2270,0
眕,bh,buohh,0.2225,0
贂,bh,bciih,0.2216,0
朌,bh,bcsh,0.2186,0
胏,bh,blxh,0.2175,0
膓,bh,boah,0.2167,0
肦,bh,bcsh,0.2166,0
睗,bh,buaph,0.2164,0
肳,bh,bphh,0.2156,0
賿,bh,bcsmh,0.2142,0
䏲,bh,bcnh,0.2000,0
賤,bi,bcii,0.3312,0
冠,bi,bmui,0.3096,0
豹,bi,bhpi,0.2639,0
冤,bi,bnai,0.2630,0
爵,bi,bwli,0.2546,0
肽,bi,bki,0.2529,0
肘,bi,bdi,0.2524,0
膊,bi,bibi,0.2504,0
眩,bi,buyvi,0.2431,0
髖,bi,bbjti,0.2379,0
腑,bi,bioi,0.2370,0
肱,bi,bki,0.2366,0
矚,bi,busei,0.2357,0
睋,bi,buhqi,0.2339,0
戝,bi,bci,0.2324,0
髑,bi,bbwli,0.2286,0
螣,bi,bfqi,0.2276,0
戙,bi,bri,0.2262,0
賻,bi,bcibi,0.2261,0
脟,bi,bbdi,0.2252,0
颻,bi,buhni,0.2250,0
臗,bi,bjti,0.2227,0
肑,bi,bpi,0.2216,0
胕,bi,bodi,0.2204,0
蠈,bi,bjlmi,0.2202,0
寽,bi,bdi,0.2201,0
胠,bi,bgi,0.2200,0
蜰,bi,bulmi,0.2192,0
肕,bi,bshi,0.2189,0
髆,bi,bbibi,0.2184,0
肞,bi,bei,0.2183,0
膞,bi,bjii,0.2179,0
胘,bi,byvi,0.2167,0
蠫,bi,bnlii,0.2165,0
膙,bi,bnii,0.2164,0
肒,bi,bkni,0.2161,0
眃,bi,bummi,0.2160,0
骫,bi,bbkni,0.2157,0
臅,bi,bwli,0.2154,0
胟,bi,bwyi,0.2149,0
朎,bi,boii,0.2129,0
戵,bi,bgi,0.2117,0
骪,bi,bbhni,0.2105,0
腘,bi,bwmi,0.2034,0
軍,bj,bjwj,0.4406,0
賊,bj,bcij,0.3941,0
肝,bj,bmj,0.3125,0
辭,bj,bbytj,0.2921,0
脾,bj,bhwj,0.2647,0
罕,bj,bcmj,0.2482,0
腩,bj,bjbj,0.2339,0
髀,bj,bbhwj,0.2311,0
辤,bj,beytj,0.2274,0
睥,bj,buhwj,0.2271,0
賥,bj,bcyoj,0.2245,0
賱,bj,bcbjj,0.2242,0
脺,bj,byoj,0.2237,0
肸,bj,bcj,0.2220,0
腁,bj,byjj,0.2207,0
眜,bj,budj,0.2200,0
睟,bj,buyoj,0.2197,0
肨,bj,bqj,0.2182,0
臎,bj,bsmj,0.2182,0
骭,bj,bbmj,0.2179,0
盽,bj,buqj,0.2171,0
瞱,bj,butmj,0.2171,0
膵,bj,btyj,0.2170,0
瞫,bj,bumwj,0.2169,0
腪,bj,bbjj,0.2169,0
盰,bj,bumj,0.2160,0
睴,bj,bubjj,0.2158,0
膖,bj,byhj,0.2157,0
豻,bj,bhmj,0.2157,0
眲,bj,busj,0.2156,0
贉,bj,bcmwj,0.2153,0
睅,bj,buamj,0.2149,0
瞕,bj,buytj,0.2146,0
貋,bj,bhamj,0.2132,0
胓,bj,bmfj,0.2129,0
膟,bj,byij,0.2129,0
貏,bj,bhhwj,0.2126,0
