text,pinyin
一族,yi1 zu2
一日三餐,yi1 ri4 san1 can1
一旦,yi1 dan4
一早,yi1 zao3
一時,yi1 shi2
一時間,yi1 shi2 jian1
一晃,yi1 huang3
一會,yi1 hui4
一會兒,yi1 hui4 r5
一月,yi1 yue4
一本正經,yi1 ben3 zheng4 jing1
一條龍,yi1 tiao2 long2
一概,yi1 gai4
一模一樣,yi1 mu2 yi1 yang4
一樣,yi1 yang4
一次,yi1 ci4
一次性,yi1 ci4 xing4
一步到位,yi1 bu4 dao4 wei4
一氣,yi1 qi4
一氣呵成,yi1 qi4 he1 cheng2
一流,yi1 liu2
一無所有,yi1 wu2 suo3 you3
一無所知,yi1 wu2 suo3 zhi1
一無是處,yi1 wu2 shi4 chu4
一生,yi1 sheng1
一生一世,yi1 sheng1 yi1 shi4
一發,yi1 fa1
一目瞭然,yi1 mu4 liao3 ran2
一直,yi1 zhi2
一直以來,yi1 zhi2 yi3 lai2
一眼,yi1 yan3
一眾,yi1 zhong4
一瞬,yi1 shun4
一瞬間,yi1 shun4 jian1
一知半解,yi1 zhi1 ban4 jie3
一種,yi1 zhong3
一竅不通,yi1 qiao4 bu4 tong1
一站式,yi1 zhan4 shi4
一等,yi1 deng3
一等獎,yi1 deng3 jiang3
一系列,yi1 xi4 lie4
一級,yi1 ji2
一統,yi1 tong3
一經,yi1 jing1
一線,yi1 xian4
一聲,yi1 sheng1
一股腦,yi1 gu3 nao3
一脈相承,yi1 mai4 xiang1 cheng2
一致,yi1 zhi4
一致性,yi1 zhi4 xing4
一舉,yi1 ju3
一舉一動,yi1 ju3 yi1 dong4
一般,yi1 ban1
一般人,yi1 ban1 ren2
一般來說,yi1 ban1 lai2 shuo1
一般性,yi1 ban1 xing4
一般而言,yi1 ban1 er2 yan2
一般般,yi1 ban1 ban1
一號,yi1 hao4
一行,yi1 xing2
一襲,yi1 xi2
一見鍾情,yi1 jian4 zhong1 qing2
一覽,yi1 lan3
一覽表,yi1 lan3 biao3
一言,yi1 yan2
一言難盡,yi1 yan2 nan2 jin4
一說,yi1 shuo1
一貫,yi1 guan4
一起,yi1 qi3
一路,yi1 lu4
一路上,yi1 lu4 shang4
一蹴而就,yi1 cu4 er2 jiu4
一身,yi1 shen1
一輩子,yi1 bei4 zi5
一輪,yi1 lun2
一連,yi1 lian2
一連串,yi1 lian2 chuan4
一遍,yi1 bian4
一道,yi1 dao4
一邊,yi1 bian1
一部分,yi1 bu4 fen5
一陣,yi1 zhen4
一陣子,yi1 zhen4 zi5
一面,yi1 mian4
一頭,yi1 tou2
一頭霧水,yi1 tou2 wu4 shui3
一類,yi1 lei4
一體,yi1 ti3
一體化,yi1 ti3 hua4
一點,yi1 dian3
一點一點,yi1 dian3 yi1 dian3
一點兒,yi1 dian3 r5
一點點,yi1 dian3 dian3
一齊,yi1 qi2
丁,ding1
丁丁,ding1 ding1
丁香,ding1 xiang1
丂,kao3
七,qi1
七十,qi1 shi2
七十年代,qi1 shi2 nian2 dai4
七喜,qi1 xi3
七夕,qi1 xi1
七彩,qi1 cai3
七星,qi1 xing1
七月,qi1 yue4
丄,shang4
丅,xia4
万,mo4
丈,zhang4
丈夫,zhang4 fu5
丈母娘,zhang4 mu3 niang2
三,san1
三七,san1 qi1
三世,san1 shi4
三中全會,san1 zhong1 quan2 hui4
三五,san1 wu3
三井,san1 jing3
三亞,san1 ya4
三代,san1 dai4
三位一體,san1 wei4 yi1 ti3
三個代表,san1 ge4 dai4 biao3
三倍,san1 bei4
三元,san1 yuan2
三八,san1 ba1
三分,san1 fen1
三分之一,san1 fen1 zhi1 yi1
三分球,san1 fen1 qiu2
三包,san1 bao1
三十,san1 shi2
三台,san1 tai2
三國,san1 guo2
三國志,san1 guo2 zhi4
三國演義,san1 guo2 yan3 yi4
三圍,san1 wei2
三寶,san1 bao3
三峽,san1 xia2
三廂,san1 xiang1
三文魚,san1 wen2 yu2
三明,san1 ming2
三明治,san1 ming2 zhi4
三星,san1 xing1
三月,san1 yue4
三條,san1 tiao2
三次,san1 ci4
三江,san1 jiang1
三洋,san1 yang2
三流,san1 liu2
三甲,san1 jia3
三級,san1 ji2
三級片,san1 ji2 pian4
三維,san1 wei2
三維空間,san1 wei2 kong1 jian1
三聚氰胺,san1 ju4 qing2 an4
三腳架,san1 jiao3 jia4
三菱,san1 ling2
三觀,san1 guan1
三角,san1 jiao3
三角形,san1 jiao3 xing2
三輪,san1 lun2
三輪車,san1 lun2 che1
三部曲,san1 bu4 qu3
三重,san1 chong2
三門,san1 men2
三項,san1 xiang4
三體,san1 ti3
三鹿,san1 lu4
上,shang4
上一個,shang4 yi1 ge5
上一頁,shang4 yi1 ye4
上下,shang4 xia4
上下文,shang4 xia4 wen2
上下班,shang4 xia4 ban1
上交,shang4 jiao1
上任,shang4 ren4
上位,shang4 wei4
上來,shang4 lai2
上個,shang4 ge5
上個月,shang4 ge4 yue4
上傳,shang4 chuan2
上分,shang4 fen1
上前,shang4 qian2
上升,shang4 sheng1
上午,shang4 wu3
上半場,shang4 ban4 chang3
上半年,shang4 ban4 nian2
上半身,shang4 ban4 shen1
上去,shang4 qu4
上古,shang4 gu3
上台,shang4 tai2
上司,shang4 si5
上吊,shang4 diao4
上回,shang4 hui2
上報,shang4 bao4
上場,shang4 chang3
上外,shang4 wai4
上天,shang4 tian1
上好,shang4 hao3
上學,shang4 xue2
上官,shang4 guan1
上將,shang4 jiang4
上層,shang4 ceng2
上山,shang4 shan1
上岸,shang4 an4
上崗,shang4 gang3
上市,shang4 shi4
上市公司,shang4 shi4 gong1 si1
上帝,shang4 di4
上年,shang4 nian2
上廁所,shang4 ce4 suo3
上心,shang4 xin1
上手,shang4 shou3
上揚,shang4 yang2
上文,shang4 wen2
上方,shang4 fang1
上映,shang4 ying4
上書,shang4 shu1
上月,shang4 yue4
上期,shang4 qi1
上架,shang4 jia4
上校,shang4 xiao4
上榜,shang4 bang3
上樓,shang4 lou2
上次,shang4 ci4
上汽,shang4 qi4
上流社會,shang4 liu2 she4 hui4
上浮,shang4 fu2
上海,shang4 hai3
上海大學,shang4 hai3 da4 xue2
上海市,shang4 hai3 shi4
上海話,shang4 hai3 hua4
上游,shang4 you2
上演,shang4 yan3
上漲,shang4 zhang3
上火,shang4 huo3
上熱搜,shang4 re4 sou1
上牌,shang4 pai2
上班,shang4 ban1
上班族,shang4 ban1 zu2
上班時間,shang4 ban1 shi2 jian1
上當,shang4 dang4
上癮,shang4 yin3
上空,shang4 kong1
上籃,shang4 lan2
上級,shang4 ji2
上網,shang4 wang3
上線,shang4 xian4
上繳,shang4 jiao3
上肢,shang4 zhi1
上船,shang4 chuan2
上色,shang4 se4
上萬,shang4 wan4
上行,shang4 xing2
上街,shang4 jie1
上衣,shang4 yi1
上訪,shang4 fang3
上訴,shang4 su4
上課,shang4 ke4
上調,shang4 tiao2
上證,shang4 zheng4
上路,shang4 lu4
上身,shang4 shen1
上車,shang4 che1
上述,shang4 shu4
上進,shang4 jin4
上邊,shang4 bian5
上部,shang4 bu4
上都,shang4 du1
上門,shang4 men2
上限,shang4 xian4
上陣,shang4 zhen4
上面,shang4 mian4
上頭,shang4 tou2
上風,shang4 feng1
上饒,shang4 rao2
上馬,shang4 ma3
下,xia4
下一代,xia4 yi1 dai4
下一個,xia4 yi1 ge5
下一次,xia4 yi1 ci4
下一步,xia4 yi1 bu4
下一站,xia4 yi1 zhan4
下一頁,xia4 yi1 ye4
下令,xia4 ling4
下來,xia4 lai5
下個,xia4 ge5
下個月,xia4 ge4 yue4
下列,xia4 lie4
下功夫,xia4 gong1 fu5
下午,xia4 wu3
下午茶,xia4 wu3 cha2
下半場,xia4 ban4 chang3
下半年,xia4 ban4 nian2
下半身,xia4 ban4 shen1
下去,xia4 qu4
下單,xia4 dan1
下回,xia4 hui2
下坡,xia4 po1
下垂,xia4 chui2
下場,xia4 chang3
下定決心,xia4 ding4 jue2 xin1
下家,xia4 jia1
下層,xia4 ceng2
下屬,xia4 shu3
下山,xia4 shan1
下崗,xia4 gang3
下巴,xia4 ba5
下意識,xia4 yi4 shi2
下手,xia4 shou3
下挫,xia4 cuo4
下放,xia4 fang4
下方,xia4 fang1
下旬,xia4 xun2
下星期,xia4 xing1 qi1
下月,xia4 yue4
下期,xia4 qi1
下架,xia4 jia4
下棋,xia4 qi2
下樓,xia4 lou2
下次,xia4 ci4
下水,xia4 shui3
下水道,xia4 shui3 dao4
下沉,xia4 chen2
下注,xia4 zhu4
下流,xia4 liu2
下海,xia4 hai3
下游,xia4 you2
下滑,xia4 hua2
下班,xia4 ban1
下發,xia4 fa1
下級,xia4 ji2
下線,xia4 xian4
下肢,xia4 zhi1
下落,xia4 luo4
下行,xia4 xing2
下設,xia4 she4
下課,xia4 ke4
下調,xia4 diao4
下跌,xia4 die1
下跪,xia4 gui4
下身,xia4 shen1
下車,xia4 che1
下載,xia4 zai3
下輩子,xia4 bei4 zi5
下週,xia4 zhou1
下達,xia4 da2
下邊,xia4 bian5
下鄉,xia4 xiang1
下鍋,xia4 guo1
下降,xia4 jiang4
下限,xia4 xian4
下雨,xia4 yu3
下雪,xia4 xue3
下面,xia4 mian4
下飯,xia4 fan4
丌,ji1
不,bu4
不一,bu4 yi1
不一定,bu4 yi1 ding4
不一樣,bu4 yi1 yang4
不下,bu4 xia4
不久,bu4 jiu3
不久前,bu4 jiu3 qian2
不乏,bu4 fa2
不了,bu4 le5
不了了之,bu4 liao3 liao3 zhi1
不二,bu4 er4
不亞於,bu4 ya4 yu2
不亦樂乎,bu4 yi4 le4 hu1
不以為然,bu4 yi3 wei2 ran2
不休,bu4 xiu1
不但,bu4 dan4
不住,bu4 zhu4
不作為,bu4 zuo4 wei2
不佳,bu4 jia1
不便,bu4 bian4
不俗,bu4 su2
不值,bu4 zhi2
不值得,bu4 zhi2 de5
不值錢,bu4 zhi2 qian2
不停,bu4 ting2
不僅,bu4 jin3
不僅僅,bu4 jin3 jin3
不僅如此,bu4 jin3 ru2 ci3
不光,bu4 guang1
不免,bu4 mian3
不公,bu4 gong1
不再,bu4 zai4
不准,bu4 zhun3
不凡,bu4 fan2
不分,bu4 fen1
不切實際,bu4 qie4 shi2 ji4
不划算,bu4 hua2 suan4
不利,bu4 li4
不到,bu4 dao4
不力,bu4 li4
不加,bu4 jia1
不動,bu4 dong4
不動產,bu4 dong4 chan3
不動聲色,bu4 dong4 sheng1 se4
不勝,bu4 sheng4
不及,bu4 ji2
不及格,bu4 ji2 ge2
不只,bu4 zhi3
不可,bu4 ke3
不可以,bu4 ke3 yi3
不可思議,bu4 ke3 si1 yi4
不可或缺,bu4 ke3 huo4 que1
不可缺少,bu4 ke3 que1 shao3
不可能,bu4 ke3 neng2
不可避免,bu4 ke3 bi4 mian3
不合,bu4 he2
不合理,bu4 he2 li3
不同,bu4 tong2
不和,bu4 he2
不問,bu4 wen4
不善,bu4 shan4
不單,bu4 dan1
不在,bu4 zai4
不在乎,bu4 zai4 hu5
不在意,bu4 zai4 yi4
不在話下,bu4 zai4 hua4 xia4
不堪,bu4 kan1
不夠,bu4 gou4
不大,bu4 da4
不太好,bu4 tai4 hao3
不失,bu4 shi1
不失為,bu4 shi1 wei2
不好,bu4 hao3
不好意思,bu4 hao3 yi4 si5
不好說,bu4 hao3 shuo1
不如,bu4 ru2
不妙,bu4 miao4
不妥,bu4 tuo3
不妨,bu4 fang2
不孕,bu4 yun4
不安,bu4 an1
不完善,bu4 wan2 shan4
不定,bu4 ding4
不定期,bu4 ding4 qi1
不宜,bu4 yi2
不容,bu4 rong2
不實,bu4 shi2
不對,bu4 dui4
不對勁,bu4 dui4 jin4
不對稱,bu4 dui4 chen4
不少,bu4 shao3
不屈,bu4 qu1
不屑,bu4 xie4
不屑一顧,bu4 xie4 yi1 gu4
不差,bu4 cha1
不已,bu4 yi3
不帶,bu4 dai4
不平,bu4 ping2
不平等,bu4 ping2 deng3
不平衡,bu4 ping2 heng2
不幸,bu4 xing4
不得,bu4 de2
不得不,bu4 de2 bu4
不得了,bu4 de2 liao3
不得已,bu4 de2 yi3
不得而知,bu4 de2 er2 zhi1
不復,bu4 fu4
不必,bu4 bi4
不必要,bu4 bi4 yao4
不忍,bu4 ren3
不忍心,bu4 ren3 xin1
不忙,bu4 mang2
不快,bu4 kuai4
不怎麼,bu4 zen3 me5
不怎麼樣,bu4 zen3 me5 yang4
不怕,bu4 pa4
不息,bu4 xi1
不惜,bu4 xi1
不想,bu4 xiang3
不愉快,bu4 yu2 kuai4
不愧,bu4 kui4
不慎,bu4 shen4
不懈,bu4 xie4
不成,bu4 cheng2
不折不扣,bu4 zhe2 bu4 kou4
不捨,bu4 she3
不擇手段,bu4 ze2 shou3 duan4
不敵,bu4 di2
不料,bu4 liao4
不斷,bu4 duan4
不方便,bu4 fang1 bian4
不明,bu4 ming2
不明確,bu4 ming2 que4
不易,bu4 yi4
不是,bu4 shi4
不是嗎,bu4 shi4 ma5
不時,bu4 shi2
不景氣,bu4 jing3 qi4
不曾,bu4 ceng2
不會,bu4 hui4
不服,bu4 fu2
不服氣,bu4 fu2 qi4
不朽,bu4 xiu3
不止,bu4 zhi3
不止一次,bu4 zhi3 yi1 ci4
不正常,bu4 zheng4 chang2
不正確,bu4 zheng4 que4
不比,bu4 bi3
不法,bu4 fa3
不注意,bu4 zhu4 yi4
不清,bu4 qing1
不清楚,bu4 qing1 chu5
不準確,bu4 zhun3 que4
不滿,bu4 man3
不滿意,bu4 man3 yi4
不為人知,bu4 wei2 ren2 zhi1
不然,bu4 ran2
不爭,bu4 zheng1
不爽,bu4 shuang3
不理,bu4 li3
不甘,bu4 gan1
不甘心,bu4 gan1 xin1
不甚,bu4 shen4
不用,bu4 yong4
不用說,bu4 yong4 shuo1
不由,bu4 you2
不由得,bu4 you2 de5
不由自主,bu4 you2 zi4 zhu3
不當,bu4 dang4
不盡,bu4 jin4
不相上下,bu4 xiang1 shang4 xia4
不知,bu4 zhi1
不知不覺,bu4 zhi1 bu4 jue2
不知所云,bu4 zhi1 suo3 yun2
不知所措,bu4 zhi1 suo3 cuo4
不禁,bu4 jin1
不穩,bu4 wen3
不符,bu4 fu2
不等,bu4 deng3
不算,bu4 suan4
不管,bu4 guan3
不管怎樣,bu4 guan3 zen3 yang4
不簡單,bu4 jian3 dan1
不粘鍋,bu4 zhan1 guo1
不約而同,bu4 yue1 er2 tong2
不絕,bu4 jue2
不給力,bu4 gei3 li4
不經意,bu4 jing1 yi4
不經意間,bu4 jing1 yi4 jian1
不羈,bu4 ji1
不耐煩,bu4 nai4 fan2
不育,bu4 yu4
不能,bu4 neng2
不自然,bu4 zi4 ran2
不至於,bu4 zhi4 yu2
不舒服,bu4 shu1 fu5
不良,bu4 liang2
不菲,bu4 fei3
不行,bu4 xing2
不行了,bu4 xing2 le5
不要,bu4 yao4
不要緊,bu4 yao4 jin3
不要臉,bu4 yao4 lian3
不見,bu4 jian4
不見了,bu4 jian4 le5
不見得,bu4 jian4 de5
不規則,bu4 gui1 ze2
不規範,bu4 gui1 fan4
不覺,bu4 jue2
不解,bu4 jie3
不言而喻,bu4 yan2 er2 yu4
不計,bu4 ji4
不計其數,bu4 ji4 qi2 shu4
不許,bu4 xu3
不該,bu4 gai1
不詳,bu4 xiang2
不語,bu4 yu3
不請自來,bu4 qing3 zi4 lai2
不論,bu4 lun4
不變,bu4 bian4
不負,bu4 fu4
不賴,bu4 lai4
不起眼,bu4 qi3 yan3
不足,bu4 zu2
不送,bu4 song4
不透明,bu4 tou4 ming2
不通,bu4 tong1
不過,bu4 guo4
不道德,bu4 dao4 de2
不適,bu4 shi4
不遺餘力,bu4 yi2 yu2 li4
不錯,bu4 cuo4
不鏽鋼,bu4 xiu4 gang1
不雅,bu4 ya3
不靈,bu4 ling2
不順,bu4 shun4
不願,bu4 yuan4
不顧,bu4 gu4
不顧一切,bu4 gu4 yi1 qie4
丏,mian3
丐,gai4
丑,chou3
丒,chou3
且,qie3
且不說,qie3 bu4 shuo1
丕,pi1
世,shi4
世上,shi4 shang4
世事,shi4 shi4
世人,shi4 ren2
世代,shi4 dai4
世俗,shi4 su2
世博,shi4 bo2
世博會,shi4 bo2 hui4
世家,shi4 jia1
世界,shi4 jie4
世界各地,shi4 jie4 ge4 di4
世界第一,shi4 jie4 di4 yi1
世界紀錄,shi4 jie4 ji4 lu4
世界級,shi4 jie4 ji2
世界經濟,shi4 jie4 jing1 ji4
世界觀,shi4 jie4 guan1
世界銀行,shi4 jie4 yin2 hang2
世紀,shi4 ji4
世紀末,shi4 ji4 mo4
世貿,shi4 mao4
世道,shi4 dao4
世錦賽,shi4 jin3 sai4
世間,shi4 jian1
丗,shi4
丘,qiu1
丘陵,qiu1 ling2
丙,bing3
丞,cheng2
丞相,cheng2 xiang4
丟,diu1
丟下,diu1 xia4
丟人,diu1 ren2
丟失,diu1 shi1
丟掉,diu1 diao4
丟棄,diu1 qi4
丟臉,diu1 lian3
丠,qiu1
丣,you3
並,bing4
並不,bing4 bu4
並且,bing4 qie3
並列,bing4 lie4
並存,bing4 cun2
並未,bing4 wei4
並發,bing4 fa1
並稱,bing4 cheng1
並肩,bing4 jian1
並舉,bing4 ju3
並行,bing4 xing2
並重,bing4 zhong4
並非,bing4 fei1
丨,gun3
丩,jiu1
丫,ya1
丫頭,ya1 tou5
丫鬟,ya1 huan5
中,zhong1
中世紀,zhong1 shi4 ji4
中亞,zhong1 ya4
中介,zhong1 jie4
中位數,zhong1 wei4 shu4
中低端,zhong1 di1 duan1
中俄,zhong1 e2
中信銀行,zhong1 xin4 yin2 hang2
中共,zhong1 gong4
中共中央,zhong1 gong4 zhong1 yang1
中午,zhong1 wu3
中南,zhong1 nan2
中南海,zhong1 nan2 hai3
中印,zhong1 yin4
中原,zhong1 yuan2
中古,zhong1 gu3
中國,zhong1 guo2
中國人,zhong1 guo2 ren2
中國大陸,zhong1 guo2 da4 lu4
中國式,zhong1 guo2 shi4
中國畫,zhong1 guo2 hua4
中國石化,zhong1 guo2 shi2 hua4
中國聯通,zhong1 guo2 lian2 tong1
中國製造,zhong1 guo2 zhi4 zao4
中國銀行,zhong1 guo2 yin2 hang2
中國電信,zhong1 guo2 dian4 xin4
中國風,zhong1 guo2 feng1
中土,zhong1 tu3
中型,zhong1 xing2
中場,zhong1 chang3
中外,zhong1 wai4
中天,zhong1 tian1
中央,zhong1 yang1
中央企業,zhong1 yang1 qi3 ye4
中央政府,zhong1 yang1 zheng4 fu3
中央空調,zhong1 yang1 kong1 tiao2
中央軍委,zhong1 yang1 jun1 wei3
中央銀行,zhong1 yang1 yin2 hang2
中子,zhong1 zi3
中子星,zhong1 zi3 xing1
中學,zhong1 xue2
中學生,zhong1 xue2 sheng1
中將,zhong1 jiang4
中專,zhong1 zhuan1
中小企業,zhong1 xiao3 qi3 ye4
中小學,zhong1 xiao3 xue2
中層,zhong1 ceng2
中山,zhong1 shan1
中山大學,zhong1 shan1 da4 xue2
中山市,zhong1 shan1 shi4
中巴,zhong1 ba1
中年,zhong1 nian2
中庸,zhong1 yong1
中式,zhong4 shi4
中心,zhong1 xin1
中心區,zhong1 xin1 qu1
中性,zhong1 xing4
中意,zhong4 yi4
中成藥,zhong1 cheng2 yao4
中招,zhong1 zhao1
中指,zhong1 zhi3
中文,zhong1 wen2
中新社,zhong1 xin1 she4
中新網,zhong1 xin1 wang3
中斷,zhong1 duan4
中方,zhong1 fang1
中日,zhong1 ri4
中日關係,zhong1 ri4 guan1 xi4
中旬,zhong1 xun2
中暑,zhong4 shu3
中期,zhong1 qi1
中東,zhong1 dong1
中標,zhong4 biao1
中樞,zhong1 shu1
中檔,zhong1 dang4
中歐,zhong1 ou1
中止,zhong1 zhi3
中段,zhong1 duan4
中毒,zhong4 du2
中海油,zhong1 hai3 you2
中游,zhong1 you2
中獎,zhong4 jiang3
中環,zhong1 huan2
中產,zhong1 chan3
中產階級,zhong1 chan3 jie1 ji2
中的,zhong4 di4
中石化,zhong1 shi2 hua4
中秋,zhong1 qiu1
中秋節,zhong1 qiu1 jie2
中科院,zhong1 ke1 yuan4
中立,zhong1 li4
中端,zhong1 duan1
中等,zhong1 deng3
中簽,zhong4 qian1
中紀委,zhong1 ji4 wei3
中級,zhong1 ji2
中線,zhong1 xian4
中繼,zhong1 ji4
中美,zhong1 mei3
中老年,zhong1 lao3 nian2
中考,zhong1 kao3
中肯,zhong4 ken3
中興,zhong1 xing1
中英,zhong1 ying1
中草藥,zhong1 cao3 yao4
中華,zhong1 hua2
中華民國,zhong1 hua2 min2 guo2
中華民族,zhong1 hua2 min2 zu2
中藥,zhong1 yao4
中行,zhong1 hang2
中衛,zhong1 wei4
中西,zhong1 xi1
中西部,zhong1 xi1 bu4
中規中矩,zhong4 gui1 zhong4 ju3
中超,zhong1 chao1
中路,zhong1 lu4
中轉,zhong1 zhuan3
中途,zhong1 tu2
中遠,zhong1 yuan3
中部,zhong1 bu4
中都,zhong1 du1
中醫,zhong1 yi1
中鋒,zhong1 feng1
中間,zhong1 jian1
中間件,zhong1 jian1 jian4
中關村,zhong1 guan1 cun1
中青年,zhong1 qing1 nian2
中韓,zhong1 han2
中風,zhong4 feng1
中飯,zhong1 fan4
中餐,zhong1 can1
丮,ji3
丰,feng1
丱,guan4
串,chuan4
串串,chuan4 chuan4
串口,chuan4 kou3
串聯,chuan4 lian2
丳,chan3
丵,zhuo2
丶,zhu3
丷,ba1
丸,wan2
丸子,wan2 zi5
丹,dan1
丹東,dan1 dong1
丹陽,dan1 yang2
丹麥,dan1 mai4
主,zhu3
主人,zhu3 ren2
主人公,zhu3 ren2 gong1
主任,zhu3 ren4
主公,zhu3 gong1
主創,zhu3 chuang4
主力,zhu3 li4
主動,zhu3 dong4
主動權,zhu3 dong4 quan2
主唱,zhu3 chang4
主場,zhu3 chang3
主婦,zhu3 fu4
主子,zhu3 zi5
主宰,zhu3 zai3
主導,zhu3 dao3
主帥,zhu3 shuai4
主席,zhu3 xi2
主幹,zhu3 gan4
主張,zhu3 zhang1
主意,zhu3 yi5
主打,zhu3 da3
主持,zhu3 chi2
主持人,zhu3 chi2 ren2
主播,zhu3 bo1
主攻,zhu3 gong1
主教,zhu3 jiao4
主旋律,zhu3 xuan2 lü4
主旨,zhu3 zhi3
主板,zhu3 ban3
主業,zhu3 ye4
主機,zhu3 ji1
主權,zhu3 quan2
主流,zhu3 liu2
主演,zhu3 yan3
主管,zhu3 guan3
主線,zhu3 xian4
主編,zhu3 bian1
主義,zhu3 yi4
主要,zhu3 yao4
主見,zhu3 jian4
主觀,zhu3 guan1
主角,zhu3 jue2
主語,zhu3 yu3
主講,zhu3 jiang3
主辦,zhu3 ban4
主隊,zhu3 dui4
主頁,zhu3 ye4
主題,zhu3 ti2
主題曲,zhu3 ti2 qu3
主題歌,zhu3 ti2 ge1
主食,zhu3 shi2
主體,zhu3 ti3
丼,dong4
丿,pie3
乀,fu2
乂,yi4
乃,nai3
乃是,nai3 shi4
乃至,nai3 zhi4
久,jiu3
久久,jiu3 jiu3
久而久之,jiu3 er2 jiu3 zhi1
久違,jiu3 wei2
久遠,jiu3 yuan3
乆,jiu3
乇,zhe2
么,yao1
之,zhi1
之一,zhi1 yi1
之上,zhi1 shang4
之下,zhi1 xia4
之中,zhi1 zhong1
之內,zhi1 nei4
之前,zhi1 qian2
之外,zhi1 wai4
之後,zhi1 hou4
之所以,zhi1 suo3 yi3
之間,zhi1 jian1
之際,zhi1 ji4
之類,zhi1 lei4
乍,zha4
乎,hu1
乏,fa2
乏力,fa2 li4
乏味,fa2 wei4
乑,zhong4
乒,ping1
乒乓,ping1 pang1
乒乓球,ping1 pang1 qiu2
乓,pang1
乕,hu3
乖,guai1
乖乖,guai1 guai1
乖巧,guai1 qiao3
乘,cheng2
乘以,cheng2 yi3
乘坐,cheng2 zuo4
乘客,cheng2 ke4
乘機,cheng2 ji1
乘用車,cheng2 yong4 che1
乘車,cheng2 che1
乙,yi3
乙方,yi3 fang1
乙烯,yi3 xi1
乙肝,yi3 gan1
乙醇,yi3 chun2
乛,zhe2
乜,mie1
九,jiu3
九十,jiu3 shi2
九天,jiu3 tian1
九寨溝,jiu3 zhai4 gou1
九州,jiu3 zhou1
九成,jiu3 cheng2
九月,jiu3 yue4
九江,jiu3 jiang1
九龍,jiu3 long2
乞,qi3
乞丐,qi3 gai4
乞討,qi3 tao3
也,ye3
也好,ye3 hao3
也就是,ye3 jiu4 shi4
也就是說,ye3 jiu4 shi4 shuo1
也罷,ye3 ba4
也許,ye3 xu3
乢,gai4
乣,jiu3
乨,shi3
乩,ji1
乪,nang1
乳,ru3
乳品,ru3 pin3
乳房,ru3 fang2
乳業,ru3 ye4
乳汁,ru3 zhi1
乳液,ru3 ye4
乳溝,ru3 gou1
乳腺,ru3 xian4
乳腺癌,ru3 xian4 ai2
乳製品,ru3 zhi4 pin3
乳頭,ru3 tou2
乴,xue2
乶,fu3
乸,na3
乹,qian2
乾,gan1
乾坤,qian2 kun1
乾旱,gan1 han4
乾洗,gan1 xi3
乾淨,gan1 jing4
乾燥,gan1 zao4
乾脆,gan1 cui4
乾貨,gan1 huo4
乾隆,qian2 long2
乿,luan4
亀,gui1
亁,qian2
