# Mandarin Pinyin dictionary derived from CC-CEDICT (CC BY-SA 4.0)
# Toneless continuous keys; u: and ü are normalized to v.
# Noncanonical readings and non-Han headwords are excluded before shipping.
# Source URL: https://cc-cedict.org/editor/editor_export_cedict.php?c=gz
# Source date: 2026-07-12T16:23:25Z
# Source SHA-256: 90e2881776366f606171a977a1f54786196f428ba604c728a279d4aaff7223a8
# CC-CEDICT format: version=1; subversion=0
# Fallback frequency: single character=0.3000; two-character word=0.2500; multi-character phrase=0.2000.
# Canonical persisted override: mao->貓=1.0000.
# Runtime budgets: rows<=130000; bytes<=4194304; fanout<=256; key_length<=72.
pinyin,chinese,freq
aidonghua,艾冬花,0.2000
aidongshoue,挨凍受餓,0.2000
aidou,愛豆,0.3252
aidou,挨鬥,0.2500
aidundun,矮墩墩,0.2000
aie,挨餓,0.2500
aierbota,艾爾伯塔,0.2000
aierbushang,哀而不傷,0.2000
aierduoan,埃爾多安,0.2000
aierfute,埃爾福特,0.2000
aierjin,埃爾金,0.2000
aierjindalishi,埃爾金大理石,0.2000
aierlan,愛爾蘭,0.3138
aierlanggen,埃爾朗根,0.2000
aierlanggengangling,埃爾朗根綱領,0.2000
aierlangongheguo,愛爾蘭共和國,0.2000
aierlangonghejun,愛爾蘭共和軍,0.2000
aierlanhai,愛爾蘭海,0.2000
aierlanren,愛爾蘭人,0.2000
aierlanyu,愛爾蘭語,0.2000
aiermitaji,艾爾米塔奇,0.2000
aiermitashi,艾爾米塔什,0.2000
aiernandesi,埃爾南德斯,0.2000
aierninuo,埃爾尼諾,0.2000
aierpasuo,埃爾帕索,0.2000
aierri,愛耳日,0.2000
aieshoudong,挨餓受凍,0.2000
aifa,挨罰,0.2500
aifeiertieta,埃菲爾鐵塔,0.2000
aifeiertieta,艾菲爾鐵塔,0.2000
aifeng,愛瘋,0.2500
aifu,噯腐,0.2500
aifu,愛撫,0.2494
aifuboli,埃夫伯里,0.2000
aifudun,埃弗頓,0.2000
aifutunsuan,噯腐吞酸,0.2000
aigang,愛港,0.2500
aigangjingye,愛崗敬業,0.2000
aiganpinzhong,矮桿品種,0.2000
aigao,哀告,0.2500
aigaobinfu,哀告賓服,0.2000
aige,挨個,0.3032
aige,哀歌,0.2500
aigeersong,埃格爾松,0.2000
aiger,挨個兒,0.2000
aiger,矮個兒,0.2000
aigu,隘谷,0.2500
aigua,矮瓜,0.2500
aiguo,愛國,0.3362
aiguorujia,愛國如家,0.2000
aiguoweishengyundongweiyuanhui,愛國衛生運動委員會,0.2000
aiguozhe,愛國者,0.2698
aiguozhuyi,愛國主義,0.2543
aihamaidabade,艾哈邁達巴德,0.2000
aihamaide,艾哈邁德,0.2000
aihamaidineijiade,艾哈邁迪內賈德,0.2000
aihao,愛好,0.4925
aihao,哀嚎,0.2500
aihao,哀號,0.2500
aihao,艾蒿,0.2500
aihaozhe,愛好者,0.5337
aihe,愛河,0.2500
aihehua,愛荷華,0.2000
aiheiren,矮黑人,0.2000
aihenjiaojia,愛恨交加,0.2000
aihenjiaozhi,愛恨交織,0.2000
aihongbianye,哀鴻遍野,0.2000
aihu,愛護,0.2794
aihu,挨戶,0.2500
aihu,艾虎,0.2500
aihua,矮化,0.2500
aihui,愛輝,0.2500
aihuiguli,哀毀骨立,0.2000
aihuijili,哀毀瘠立,0.2000
aihuiqu,愛輝區,0.2000
aihuntiaoyue,璦琿條約,0.2000
aiji,埃及,0.4318
aiji,挨擠,0.2500
aijia,哀家,0.2500
aijia,挨家,0.2500
aijiaaihu,挨家挨戶,0.2000
aijiadiqundao,埃加迪群島,0.2000
aijiancabei,挨肩擦背,0.2000
aijiang,愛將,0.2500
aijiangnanfu,哀江南賦,0.2000
aijianr,挨肩兒,0.2000
aijiaobaihuashelicao,矮腳白花蛇利草,0.2000
aijiaokuhao,矮腳苦蒿,0.2000
aijiaoluosan,矮腳羅傘,0.2000
aijidie,挨飢抵餓,0.2000
aijidou,埃及豆,0.2000
aijie,唉姐,0.2500
aijie,娭姐,0.2500
aijiguwuxue,埃及古物學,0.2000
aijin,哀矜,0.2500
aijin,挨近,0.2500
aijing,愛經,0.2500
aijingzhushagen,矮莖朱砂根,0.2000
aijiu,艾灸,0.2500
aijiu,艾酒,0.2500
aijixue,埃及學,0.2000
aijiyeying,埃及夜鷹,0.2000
aiju,埃居,0.2500
aijuan,艾卷,0.2500
aikei,挨剋,0.2500
aikesiguang,愛克斯光,0.2000
aikesishexian,愛克斯射線,0.2000
aiketuo,埃克托,0.2000
aikou,礙口,0.2500
aikou,隘口,0.2500
aikoushixiu,礙口識羞,0.2000
aiku,哀哭,0.2500
aikugui,愛哭鬼,0.2000
ailao,艾老,0.2500
ailate,埃拉特,0.2000
ailatuositeni,埃拉托斯特尼,0.2000
ailei,埃蕾,0.2500
ailian,愛戀,0.2601
ailian,哀憐,0.2500
ailian,愛憐,0.2500
ailibuli,愛理不理,0.2000
ailin,矮林,0.2500
ailinna,埃琳娜,0.2000
ailishegong,愛麗舍宮,0.2000
ailisi,愛麗絲,0.2727
ailisi,愛莉絲,0.2000
ailisidao,埃利斯島,0.2000
ailisimanyouqijingji,愛麗絲漫遊奇境記,0.2000
ailisiquan,愛麗斯泉,0.2000
ailisiquan,愛麗絲泉,0.2000
ailiugenna,愛留根納,0.2000
ailiwen,埃里溫,0.2000
ailixin,愛立信,0.2632
ailu,矮鹿,0.2500
ailu,隘路,0.2500
ailuoxianke,愛羅先珂,0.2000
ailv,愛侶,0.2500
ailvete,艾略特,0.2000
aima,挨罵,0.2627
aima,愛瑪,0.2500
aimaniuaier,艾瑪紐埃爾,0.2000
aimanta,埃曼塔,0.2000
aimanta,艾曼塔,0.2000
aimashi,愛馬仕,0.2000
aimei,曖昧,0.3200
aimei,愛美,0.2603
aimeiguanxi,曖昧關係,0.2000
aimeijiang,艾美獎,0.2000
aimen,挨門,0.2500
aimenaihu,挨門挨戶,0.2000
aimi,埃米,0.2500
aimianzi,愛面子,0.2000
aimianzi,礙面子,0.2000
aimier,埃米爾,0.2000
aimier,艾彌爾,0.2000
aimin,哀憫,0.2500
aimin,愛民,0.2500
aiming,哀鳴,0.2500
aiminqu,愛民區,0.2000
aiminruzi,愛民如子,0.2000
aimodayuxinsi,哀莫大於心死,0.2000
aimoliweier,愛莫利維爾,0.2000
aimonengzhu,愛莫能助,0.2000
aimosheng,愛默生,0.2000
aimu,愛慕,0.2564
aimuxurong,愛慕虛榮,0.2000
ainai,欸乃,0.2500
ainan,礙難,0.2500
ainancongming,礙難從命,0.2000
ainaxiang,艾納香,0.2000
aini,愛昵,0.2500
ainieasi,埃涅阿斯,0.2000
ainieasiji,埃涅阿斯紀,0.2000
ainu,愛奴,0.2500
aipang,矮胖,0.2500
aipi,挨批,0.2500
aipian,艾片,0.2500
aipiaoliang,愛漂亮,0.2000
aiping,哀平,0.2500
aipusheng,愛普生,0.2545
aipuxilong,艾普西隆,0.2000
aiqi,哀啟,0.2500
aiqi,哀戚,0.2500
aiqi,哀泣,0.2500
aiqi,噯氣,0.2500
aiqianqi,癌前期,0.2000
aiqifuchou,噯氣腐臭,0.2000
aiqing,愛情,0.6186
aiqing,艾青,0.2500
aiqingpian,愛情片,0.2000
aiqingxiju,愛情喜劇,0.2000
aiqinhai,愛琴海,0.2000
aiqiouni,噯氣嘔逆,0.2000
aiqisuanfu,噯氣酸腐,0.2000
aiqitunsuan,噯氣吞酸,0.2000
aiqiu,哀求,0.2518
aiqixun,艾奇遜,0.2000
aiqiyi,愛奇藝,0.3771
aiquan,哀勸,0.2500
aiquan,愛犬,0.2500
airan,藹然,0.2500
airen,愛人,0.3760
airen,矮人,0.3144
airenruji,愛人如己,0.2000
airong,哀榮,0.2500
airong,艾絨,0.2500
airuibadi,艾瑞巴蒂,0.2000
aisai,埃塞,0.2500
aisaiebiya,埃塞俄比亞,0.2000
aisaiebiyajie,埃塞俄比亞界,0.2000
aisaikesi,艾賽克斯,0.2000
aisake,艾薩克,0.2000
aisen,埃森,0.2500
aisenhaoweier,艾森豪威爾,0.2000
aisennahe,埃森納赫,0.2000
aisenzhe,埃森哲,0.2000
aishang,愛上,0.3775
aishang,哀傷,0.2577
aishaniya,愛沙尼亞,0.2000
aisheishei,愛誰誰,0.2000
aishen,愛神,0.2500
aishengtanqi,唉聲嘆氣,0.2000
aishi,哀失,0.2500
aishi,礙事,0.2500
aishi,艾實,0.2500
aishijian,挨時間,0.2000
aishouaijiao,礙手礙腳,0.2000
aishu,矮樹,0.2500
aishuo,挨說,0.2500
aisi,哀思,0.2500
aisibing,愛死病,0.2000
aisijimo,愛斯基摩,0.2000
aisikuduo,埃斯庫多,0.2000
aisikuluosi,埃斯庫羅斯,0.2000
aisitehaqi,埃斯特哈齊,0.2000
aisitelang,埃斯特朗,0.2000
aisuan,噯酸,0.2500
aita,埃塔,0.2500
aita,艾塔,0.2500
aitan,哀嘆,0.2500
aitan,艾炭,0.2500
aite,艾特,0.2500
aitenahuoshan,埃特納火山,0.2000
aiti,挨踢,0.2500
aitiao,艾條,0.2500
aitiaojiu,艾條灸,0.2000
aitiaoquezhuojiu,艾條雀啄灸,0.2000
aitiaowenhejiu,艾條溫和灸,0.2000
aitong,哀慟,0.2500
aitong,哀痛,0.2500
aitouzi,挨頭子,0.2000
aiwan,哀婉,0.2500
aiwanting,愛晚亭,0.2000
aiweihui,愛衛會,0.2000
aiweikou,礙胃口,0.2000
aiweiwei,艾未未,0.2000
aiweiyang,愛維養,0.2000
aiwen,埃文,0.2500
aiwen,愛問,0.2500
aiwenhepansitelatefu,埃文河畔斯特拉特福,0.2000
aiwensi,埃文斯,0.2000
aiwowo,愛窩窩,0.2000
aiwowo,艾窩窩,0.2000
aiwujiniao,愛屋及鳥,0.2000
aiwujiwu,愛屋及烏,0.2000
aixi,愛惜,0.2554
aixian,愛現,0.2500
aixiao,矮小,0.2500
aixiaojinghan,矮小精悍,0.2000
aixibao,癌細胞,0.2958
aixin,愛心,0.3474
aixing,矮星,0.2500
aixingxing,矮行星,0.2000
aixinjueluo,愛新覺羅,0.2000
aixinsan,愛心傘,0.2000
aixiyumao,愛惜羽毛,0.2000
aixu,埃敘,0.2500
aiya,哎呀,0.3638
aiyan,哀艷,0.2500
aiyan,哀豔,0.2500
aiyan,挨延,0.2500
aiyan,礙眼,0.2500
aiyangmei,矮楊梅,0.2000
aiye,艾葉,0.2500
aiyetan,艾葉炭,0.2000
aiyeyou,艾葉油,0.2000
aiyi,愛意,0.2722
aiyinhuowen,埃因霍溫,0.2000
aiyinsitan,愛因斯坦,0.3956
aiyo,哎喲,0.2610
aiyo,哎唷,0.2500
aiyou,哎呦,0.2500
aiyou,矮油,0.2500
aiyou,艾鼬,0.2500
aiyouteng,愛優騰,0.2000
aiyu,愛玉,0.2500
aiyu,礙於,0.2500
aiyuan,哀怨,0.2486
aiyubing,愛玉冰,0.2000
aiyudong,愛玉凍,0.2000
aiyue,哀樂,0.2500
aiyue,愛樂,0.2500
aiyueyuetuan,愛樂樂團,0.2000
aiyuzi,愛玉子,0.2000
aizai,挨宰,0.2500
aizeng,愛憎,0.2500
aizengfenming,愛憎分明,0.2000
aizhe,挨著,0.2500
aizheng,癌症,0.4972
aizheng,挨整,0.2500
aizhi,愛知,0.2500
aizhiruming,愛之如命,0.2000
aizhu,艾炷,0.2500
aizhuangsu,矮壯素,0.2000
aizhujiu,艾炷灸,0.2000
aizi,艾滋,0.2553
aizi,哀子,0.2500
aizi,愛子,0.2500
aizi,愛滋,0.2500
aizi,矮子,0.2485
aizibing,艾滋病,0.3072
aizibing,愛滋病,0.2000
aizibingbingdu,艾滋病病毒,0.2000
aizibingdu,愛滋病毒,0.2000
aizibingdu,艾滋病毒,0.2000
aizilibajiangjun,矮子裡拔將軍,0.2000
aizou,挨揍,0.2500
ajiadier,阿加迪爾,0.2000
ajiawei,阿加維,0.2000
ajimide,阿基米德,0.2000
ajinkuer,阿金庫爾,0.2000
aka,阿卡,0.2500
akabeila,阿卡貝拉,0.2000
akadi,阿卡提,0.2000
akadiya,阿卡迪亞,0.2000
akadiyadaxue,阿卡迪亞大學,0.2000
akaliusi,阿喀琉斯,0.2000
akapuerke,阿卡普爾科,0.2000
akela,阿克拉,0.2000
akelun,阿克倫,0.2000
akelunhe,阿克倫河,0.2000
akense,阿肯色,0.2000
akensedaxue,阿肯色大學,0.2000
akesai,阿克塞,0.2000
akesaihasakezuzizhixian,阿克塞哈薩克族自治縣,0.2000
akesaiqin,阿克賽欽,0.2000
akesaixian,阿克塞縣,0.2000
akesu,阿克蘇,0.2000
akesudiqu,阿克蘇地區,0.2000
akesuhe,阿克蘇河,0.2000
akesushi,阿克蘇市,0.2000
aketao,阿克陶,0.2000
aketaoxian,阿克陶縣,0.2000
akongjiagua,阿空加瓜,0.2000
akongjiaguashan,阿空加瓜山,0.2000
akuina,阿奎納,0.2000
ala,阿拉,0.2748
alabama,阿拉巴馬,0.2000
alabo,阿拉伯,0.2932
alabobandao,阿拉伯半島,0.2000
alabogongtongshichang,阿拉伯共同市場,0.2000
alaboguojialianmeng,阿拉伯國家聯盟,0.2000
alabohai,阿拉伯海,0.2000
alabohuixiang,阿拉伯茴香,0.2000
alabojiao,阿拉伯膠,0.2000
alabolianhedagongguo,阿拉伯聯合大公國,0.2000
alabolianheqiuzhangguo,阿拉伯聯合酋長國,0.2000
alaboren,阿拉伯人,0.2000
alaboshuzi,阿拉伯數字,0.2000
alabotang,阿拉伯糖,0.2000
alabowen,阿拉伯文,0.2000
alaboyu,阿拉伯語,0.2678
alading,阿拉丁,0.2000
alaer,阿拉爾,0.2000
alaershi,阿拉爾市,0.2000
alafate,阿拉法特,0.2000
alafulahai,阿拉弗拉海,0.2000
alaganshanmai,阿拉干山脈,0.2000
alai,阿來,0.2500
alaiman,阿萊曼,0.2000
alaiqibingchuan,阿萊奇冰川,0.2000
alamiyu,阿拉米語,0.2000
alamo,阿拉摩,0.2000
alamutu,阿拉木圖,0.2000
alan,阿蘭,0.2500
alanre,阿蘭若,0.2000
alanwen,阿蘭文,0.2000
alashan,阿拉善,0.2000
alashankou,阿拉山口,0.2000
alashankoushi,阿拉山口市,0.2000
alashanmeng,阿拉善盟,0.2000
alashanyouqi,阿拉善右旗,0.2000
alashanzuoqi,阿拉善左旗,0.2000
alasi,阿拉斯,0.2000
alasijia,阿拉斯加,0.2000
alasijiadaxue,阿拉斯加大學,0.2000
alasijiaxueqiaoquan,阿拉斯加雪橇犬,0.2000
alatasi,阿拉塔斯,0.2000
alawa,阿拉瓦,0.2000
aletai,阿勒泰,0.2000
aletaidiqu,阿勒泰地區,0.2000
aletaishi,阿勒泰市,0.2000
ali,阿里,0.5833
alian,阿蓮,0.2500
alianqiu,阿聯酋,0.2504
alianqiuhangkong,阿聯酋航空,0.2000
alianqiuzhangguo,阿聯酋長國,0.2000
alianqu,阿蓮區,0.2000
alibaba,阿里巴巴,0.4352
alidiqu,阿里地區,0.2000
aliefu,阿列夫,0.2000
aliekexisi,阿列克西斯,0.2000
alikante,阿利坎特,0.2000
alilang,阿里郎,0.2000
alingdunguojiagongmu,阿靈頓國家公墓,0.2000
alishan,阿里山,0.2000
alisituofen,阿里斯托芬,0.2000
aliteng,阿利藤,0.2000
aliushenqundao,阿留申群島,0.2000
aliyana,阿麗亞娜,0.2000
aluba,阿魯巴,0.2000
alukeerqin,阿魯科爾沁,0.2000
alukeerqinqi,阿魯科爾沁旗,0.2000
alun,阿倫,0.2500
alunaqiaerbang,阿魯納恰爾邦,0.2000
alundaer,阿倫達爾,0.2000
aluofei,阿洛菲,0.2000
aluohan,阿羅漢,0.2000
aluoyue,阿羅約,0.2000
ama,阿媽,0.2500
ama,阿嬤,0.2500
aman,阿曼,0.2604
amangna,阿芒拿,0.2000
amani,阿瑪尼,0.2000
amanwan,阿曼灣,0.2000
amaoagou,阿貓阿狗,0.2000
amei,阿妹,0.2500
ameiensi,阿美恩斯,0.2000
ameiniya,阿美尼亞,0.2000
ameizu,阿美族,0.2000
amen,阿門,0.2523
amen,阿們,0.2500
ameng,阿盟,0.2500
ameng,阿蒙,0.2500
amiao,阿秒,0.2500
amiba,阿米巴,0.2000
amibabing,阿米巴病,0.2000
amibaliji,阿米巴痢疾,0.2000
amibayuanchong,阿米巴原蟲,0.2000
aminadabu,阿米納達布,0.2000
aming,阿明,0.2500
amoniya,阿摩尼亞,0.2000
amoniyashui,阿摩尼亞水,0.2000
amosishu,阿摩司書,0.2000
amoxilin,阿莫西林,0.2000
amuerhe,阿穆爾河,0.2000
amuerzhou,阿穆爾州,0.2000
amuhala,阿姆哈拉,0.2000
amuhe,阿姆河,0.2000
amulin,阿木林,0.2000
amusitedan,阿姆斯特丹,0.2000
amusitelang,阿姆斯特朗,0.2000
an,按,0.6365
an,俺,0.5833
an,安,0.5330
an,案,0.4169
an,暗,0.3545
an,㟁,0.3000
an,埯,0.3000
an,岸,0.2915
an,鞍,0.2666
an,氨,0.2611
an,胺,0.2577
an,菴,0.2556
an,銨,0.2462
an,黯,0.2459
an,闇,0.2414
an,諳,0.2391
an,桉,0.2361
an,庵,0.2355
an,唵,0.2326
an,鵪,0.2281
an,犴,0.2275
an,盦,0.2242
an,垵,0.2240
an,晻,0.2226
an,揞,0.2210
an,萻,0.2190
an,鞌,0.2182
an,媕,0.2171
an,豻,0.2157
an,啽,0.2151
an,鶕,0.2122
an,鮟,0.2001
anading,氨吖啶,0.2000
anai,阿奶,0.2500
anan,暗暗,0.2751
anan,安安,0.2746
anan,阿囡,0.2500
anban,案板,0.2500
anbang,安邦,0.2500
anbangdingguo,安邦定國,0.2000
anbao,安保,0.2596
anbao,暗堡,0.2500
anbei,安倍,0.2483
anbeijinsan,安倍晉三,0.2000
anbeiyuyan,暗背雨燕,0.2000
anbian,岸邊,0.2622
anbianqingmeisu,氨苄青黴素,0.2000
anbiao,岸標,0.2500
anbingbudong,按兵不動,0.2000
anbingshujia,案兵束甲,0.2000
anbu,安瓿,0.2500
anbudangche,安步當車,0.2000
anbujiuban,按部就班,0.2794
anbujiuban,按步就班,0.2000
anbuping,安瓿瓶,0.2000
ancang,暗藏,0.2511
ancha,安插,0.2500
ancha,按察,0.2500
anchamingfang,暗察明訪,0.2000
anchan,鞍韂,0.2500
anchang,暗娼,0.2500
anchao,暗潮,0.2500
ancheng,案秤,0.2500
ancheng,案稱,0.2500
anchu,暗處,0.2500
anchuang,暗瘡,0.2500
anchun,鵪鶉,0.2500
anchunguduor,鵪鶉餶飿兒,0.2000
anci,安次,0.2500
anciqu,安次區,0.2000
anda,安打,0.2500
anda,安達,0.2500
andai,暗袋,0.2500
andalvehu,安大略湖,0.2000
andalvesheng,安大略省,0.2000
andamandao,安達曼島,0.2000
andamanhai,安達曼海,0.2000
andamanqundao,安達曼群島,0.2000
andan,黯淡,0.2531
andan,暗淡,0.2529
andao,暗道,0.2500
