# Quick phrase corpus derived from pinned rime-cangjie and rime-essay sources.
# Canonical Cangjie code is converted to first+last Quick code; reviewed HK rows are merged by text.
# rime-cangjie commit: 52d90a1b1312e74042b38c1cbc8142defbc53171; SHA-256: 18d989bf21d0bb86b402f18be4dd060bf2653896c95448afb01d4da2e6be5464
# rime-essay commit: 0debef3f5ae37f081758dd8bbd1fe79719410f7c; SHA-256: 4f32414039eb7f8a876acd8e94bd81c78fefafde56a352f7a3b8b2b74ca09c71
# Frequency units: 0.2000 + 0.6000 * count / (count + 10000), truncated to four decimals.
# Fields: phrase,quick_code,freq,hk_core
phrase,quick_code,freq,hk_core
最受歡迎,aebetoyl,0.3002,0
最爲,aebf,0.5440,0
曼谷,aecr,0.2544,0
最想,aedp,0.2637,0
最棒,aedq,0.2905,0
日漫,aee,0.2850,0
最深,aeed,0.2549,0
最深的,aeedhi,0.2667,0
最流行的,aeeuhnhi,0.2533,0
暴漲,aeev,0.3228,0
最常,aefb,0.2662,0
最精彩,aefbbh,0.2496,0
最常用,aefbbq,0.3352,0
最常見,aefbbu,0.4402,0
最少,aefh,0.4250,0
最少的,aefhhi,0.2485,0
曝光,aefu,0.4636,0
最熱,aegf,0.2556,0
最熱門,aegfan,0.2508,0
暴走,aego,0.2605,0
最喜歡,aegrto,0.3688,0
最喜歡的,aegrtohi,0.3819,0
曼城,aegs,0.2509,0
最起碼,aegumf,0.3927,0
最壞,aegv,0.2567,0
最簡單,aeharj,0.3268,0
最簡單的,aeharjhi,0.4561,0
最後,aehe,0.7730,0
最後時刻,aeheaiyn,0.2574,0
最後是,aeheao,0.3705,0
最後的,aehehi,0.5891,0
最後在,aehekg,0.3016,0
最後再,aehemb,0.3415,0
最後一次,aehemio,0.3870,0
最後更新,aehemkyl,0.2900,0
最後一天,aehemmk,0.2751,0
最後一個,aehemor,0.4381,0
最後一句,aehempr,0.2656,0
最後一刻,aehemyn,0.2563,0
最後還,aeheyv,0.2659,0
最後還是,aeheyvao,0.3825,0
最重,aehg,0.2509,0
最重要,aehgmv,0.4075,0
最重要的,aehgmvhi,0.5618,0
最重要的是,aehgmvhiao,0.5056,0
暴風,aehi,0.2855,0
暴風影音,aehiahya,0.2569,0
暴風雨,aehimy,0.2521,0
暴利,aehn,0.2791,0
最牛,aehq,0.2657,0
暖和,aehr,0.2568,0
暴動,aehs,0.2480,0
最先,aehu,0.3630,0
最先進,aehuyg,0.2718,0
最底層,aeimsa,0.2702,0
最能,aeip,0.3272,0
最成功,aeisms,0.2781,0
最專業,aejitd,0.2504,0
最直接,aejmqv,0.3362,0
最直觀,aejmtu,0.2806,0
暴擊,aejq,0.2651,0
最容易,aejrah,0.4192,0
最古老,aejrjp,0.2614,0
最安全,aejvog,0.2575,0
暴富,aejw,0.2557,0
最大,aek,0.7176,0
最有,aekb,0.3249,0
最有可能,aekbmrip,0.2715,0
最有名,aekbnr,0.2856,0
最有效,aekbyk,0.3159,0
最大程度,aekhgie,0.3047,0
最大的,aekhi,0.4951,0
最大限度,aeknvie,0.2899,0
最大值,aekom,0.2619,0
最大化,aekop,0.3703,0
暴力,aeks,0.4816,0
日漸,ael,0.2906,0
最貴,aelc,0.2657,0
最初,aelh,0.5705,0
最厲害,aembjr,0.2484,0
最頂尖,aemcfk,0.2780,0
最不,aemf,0.2683,0
最原始,aemfvr,0.2694,0
最理想,aemgdp,0.2637,0
最需要,aemlmv,0.2743,0
暴雪,aemm,0.4186,0
暴露,aemr,0.4186,0
暴露在,aemrkg,0.2601,0
暴露了,aemrnn,0.3028,0
暴露出,aemruu,0.2532,0
暴雨,aemy,0.2931,0
最下面,aemyml,0.2490,0
最小,aenc,0.3896,0
最小的,aenchi,0.2696,0
最小化,aencop,0.2493,0
暴發,aene,0.2519,0
最多,aeni,0.6611,0
最強,aeni,0.5353,0
最多的,aenihi,0.3254,0
最多的是,aenihiao,0.2672,0
最強大,aenik,0.2761,0
最弱,aenm,0.2590,0
暖氣,aeod,0.2735,0
最優,aeoe,0.3717,0
最優秀的,aeoehshi,0.3240,0
最優解,aeoenq,0.3069,0
最佳,aeog,0.5838,0
最佳時間,aeogaiaa,0.2500,0
最佳選擇,aeogycqj,0.2638,0
最便宜,aeokjm,0.2536,0
最便宜的,aeokjmhi,0.2540,0
最低,aeom,0.5543,0
最低分,aeomch,0.2492,0
最值得,aeomhi,0.2593,0
最低價,aeomoc,0.2620,0
最低點,aeomwr,0.2559,0
最舒服,aeonbe,0.2531,0
最年輕,aeoqjm,0.2549,0
最合適,aeoryb,0.3467,0
最短,aeot,0.2743,0
最短的,aeothi,0.2534,0
暴食,aeov,0.2612,0
最怕,aepa,0.3018,0
最慘,aeph,0.2642,0
最快,aepk,0.4434,0
最快的,aepkhi,0.2795,0
最擅長,aeqmsv,0.2783,0
暴打,aeqn,0.2570,0
最接近,aeqvyl,0.2903,0
暴躁,aerd,0.2932,0
最嚴重,aerkhg,0.2842,0
暴跌,aero,0.3367,0
暴君,aesr,0.2596,0
曼聯,aest,0.5299,0
最長,aesv,0.3449,0
最長的,aesvhi,0.2529,0
最著名,aetanr,0.3202,0
最難,aetg,0.4367,0
最基本,aetgdm,0.4531,0
最美,aetk,0.3566,0
最美好,aetkvd,0.2538,0
最差,aetm,0.2938,0
最前面,aetnml,0.2504,0
最出名,aeuunr,0.2722,0
最好,aevd,0.6784,0
最好是,aevdao,0.4612,0
最好用,aevdbq,0.3014,0
最好的,aevdhi,0.4380,0
最好看,aevdhu,0.2728,0
最好能,aevdip,0.2957,0
最好在,aevdkg,0.2681,0
最好喫,aevdrk,0.2768,0
最好還是,aevdyvao,0.2998,0
最經典,aevmtc,0.3167,0
最終,aevy,0.7257,0
最終目的,aevybuhi,0.2715,0
最終的,aevyhi,0.4330,0
最終結果,aevyvrwd,0.2779,0
最終幻想,aevyvsdp,0.2581,0
最終導致,aevyyimk,0.2804,0
最終還是,aevyyvao,0.3484,0
最適合,aeybor,0.4250,0
最主要,aeygmv,0.2784,0
最主要的,aeygmvhi,0.3853,0
最討厭,aeyimk,0.2689,0
最近,aeyl,0.7043,0
最新,aeyl,0.5812,0
最新消息,aeylebhp,0.2547,0
最近的,aeylhi,0.4568,0
最新動態,aeylhsip,0.2498,0
最新版,aeylle,0.2613,0
最新版本,aeylledm,0.2540,0
最近幾年,aeylvioq,0.3466,0
最遲,aeyq,0.2538,0
最高,aeyr,0.6650,0
最高分,aeyrch,0.2674,0
最高法院,aeyreinu,0.2505,0
最高水平,aeyremj,0.2479,0
最高境界,aeyrguwl,0.2535,0
最高點,aeyrwr,0.2829,0
最方便,aeysok,0.2570,0
最遠,aeyv,0.2525,0
最讓,aeyv,0.2481,0
最讓人,aeyvo,0.2726,0
照明,afab,0.3032,0
闖關,afat,0.2482,0
日常,afb,0.6502,0
日常生活,afbhmer,0.3819,0
日常生活中,afbhmerl,0.3144,0
日常工作,afbmmos,0.2932,0
日常使用,afbokbq,0.2900,0
照樣,afde,0.4177,0
照相,afdu,0.2987,0
照相機,afdudi,0.2705,0
景深,afed,0.2630,0
照常,affb,0.2581,0
照耀,affg,0.2575,0
照料,affj,0.2532,0
照顧,afhc,0.5142,0
景物,afhh,0.2582,0
照射,afhi,0.2678,0
景德鎮,afhpcc,0.2517,0
照片,afll,0.6817,0
景象,afno,0.3364,0
景色,afnu,0.3313,0
景氣,afod,0.2613,0
闖入,afoh,0.2686,0
照例,afon,0.2498,0
照搬,afqe,0.3042,0
景區,afsr,0.3750,0
闖蕩,afth,0.2514,0
照着,aftu,0.3621,0
景觀,aftu,0.3313,0
日光,afu,0.2560,0
景緻,afvk,0.2503,0
景點,afwr,0.4230,0
闖進,afyg,0.2541,0
照亮,afyn,0.2628,0
旺旺,agag,0.2894,0
量爲,agbf,0.2480,0
日報,age,0.3054,0
旺季,aghd,0.2713,0
量身,aghh,0.2573,0
量的,aghi,0.3205,0
量能,agip,0.2499,0
旺盛,agit,0.2885,0
閨蜜,agji,0.3711,0
量大,agk,0.2781,0
日均,agm,0.2575,0
量子,agnd,0.4007,0
量子力學,agndkshd,0.3959,0
量化,agop,0.5300,0
量化交易,agopykah,0.2755,0
日起,agu,0.3040,0
日趨,agu,0.2827,0
閨女,agv,0.2840,0
量級,agve,0.3274,0
量變,agvk,0.2497,0
量產,agym,0.3308,0
影星,aham,0.2565,0
閉關,ahat,0.2522,0
易用,ahbq,0.2524,0
閉眼,ahbv,0.2877,0
日積月累,ahcbwf,0.2627,0
影樓,ahdv,0.2509,0
日後,ahe,0.4382,0
日復一日,ahema,0.2854,0
日系,ahf,0.3328,0
易烊千璽,ahfqhjmi,0.2579,0
日程,ahg,0.2790,0
易趣,ahge,0.2656,0
影壇,ahgm,0.2503,0
影城,ahgs,0.2549,0
影后,ahhr,0.2521,0
影視,ahiu,0.4581,0
影視作品,ahiuosrr,0.3100,0
影視劇,ahiuyn,0.3409,0
影史,ahlk,0.2586,0
影片,ahll,0.6022,0
易中天,ahlmk,0.2569,0
閉環,ahmv,0.3122,0
影子,ahnd,0.4487,0
易建聯,ahnqst,0.2674,0
影院,ahnu,0.4039,0
影像,ahoo,0.4420,0
閉合,ahor,0.3204,0
易信,ahor,0.2486,0
易懂,ahpg,0.2542,0
閉嘴,ahrb,0.2685,0
影馳,ahsd,0.2482,0
閉幕,ahtb,0.2640,0
閉幕式,ahtbim,0.2540,0
閉着眼睛,ahtubvbb,0.2527,0
影響,ahva,0.7514,0
影響很大,ahvahvk,0.2708,0
影響力,ahvaks,0.5628,0
影響到,ahvamn,0.4307,0
影響着,ahvatu,0.2865,0
影響因子,ahvawknd,0.2656,0
影響因素,ahvawkqf,0.2859,0
影音,ahya,0.2864,0
影帝,ahyb,0.2868,0
影迷,ahyd,0.3007,0
影評,ahyj,0.3111,0
影評人,ahyjo,0.2523,0
閉上,ahym,0.2640,0
閉上眼睛,ahymbvbb,0.2649,0
易方達,ahysyq,0.2542,0
易於,ahyy,0.3100,0
時日,aia,0.2539,0
時間,aiaa,0.7573,0
時間是,aiaaao,0.3544,0
時間爲,aiaabf,0.2840,0
時間來,aiaado,0.3302,0
時間去,aiaagi,0.3739,0
時間越長,aiaagvsv,0.2618,0
時間段,aiaahe,0.3583,0
時間的,aiaahi,0.4437,0
時間管理,aiaahrmg,0.2707,0
時間序列,aiaainmn,0.2600,0
時間安排,aiaajvqy,0.2482,0
時間軸,aiaajw,0.2932,0
時間有限,aiaakbnv,0.2564,0
時間複雜度,aiaaleygie,0.2495,0
時間限制,aiaanvhn,0.2494,0
時間內,aiaaob,0.3744,0
時間表,aiaaqv,0.2698,0
時間長,aiaasv,0.3068,0
時間長了,aiaasvnn,0.3236,0
時間差,aiaatm,0.2488,0
時間線,aiaave,0.3915,0
時間裏,aiaayv,0.3998,0
時時,aiai,0.2773,0
時時刻刻,aiaiynyn,0.2693,0
閥門,aian,0.2689,0
時鐘,aicg,0.2821,0
時分,aich,0.2658,0
時才,aidh,0.2587,0
時機,aidi,0.4364,0
時常,aifb,0.4144,0
時尚,aifr,0.4695,0
時光,aifu,0.4994,0
時報,aige,0.2632,0
時段,aihe,0.3221,0
時的,aihi,0.5964,0
時節,aihl,0.2708,0
時態,aiip,0.2640,0
時應,aiip,0.2591,0
閩南,aijj,0.2518,0
時空,aijm,0.4375,0
時事,aijn,0.2601,0
時有,aikb,0.2669,0
時有發生,aikbnehm,0.2479,0
日式,aim,0.3497,0
時不時,aimfai,0.4343,0
時至今日,aimgona,0.3028,0
時政,aimk,0.3055,0
時而,aiml,0.3104,0
時可,aimr,0.2529,0
時要,aimv,0.2734,0
時辰,aimv,0.2537,0
時下,aimy,0.2626,0
時隔,ainb,0.2923,0
時限,ainv,0.2623,0
即係,aio,0.7980,1
時會,aioa,0.2769,0
時任,aiog,0.2688,0
時候,aiok,0.7610,0
時代,aiop,0.7119,0
時代背景,aioplbaf,0.2631,0
時也,aipd,0.2603,0
時區,aisr,0.2483,0
時髦,aisu,0.2739,0
時長,aisv,0.4157,0
時期,aitb,0.6553,0
時差,aitm,0.2613,0
時裝,aivv,0.2779,0
即刻,aiyf,0.7080,0
時評,aiyj,0.2548,0
時效,aiyk,0.2530,0
時效性,aiykpm,0.2691,0
時速,aiyl,0.2692,0
時刻,aiyn,0.5804,0
時刻表,aiynqv,0.2607,0
時說,aiyu,0.2908,0
時就,aiyu,0.2870,0
早日,aja,0.3429,0
闡明,ajab,0.2534,0
早早,ajaj,0.3815,0
暈暈,ajaj,0.2533,0
早晚,ajau,0.3345,0
早晨,ajav,0.3547,0
早睡,ajbm,0.2503,0
早泄,ajet,0.2514,0
早報,ajge,0.2566,0
早起,ajgu,0.3338,0
闡釋,ajhj,0.2847,0
早盤,ajht,0.2603,0
早有,ajkb,0.2626,0
早在,ajkg,0.4674,0
聞到,ajmn,0.2939,0
暈死,ajmp,0.3450,0
早了,ajnn,0.2492,0
聞名,ajnr,0.2726,0
早飯,ajoe,0.2927,0
暈倒,ajon,0.3481,0
早年,ajoq,0.3859,0
早知道,ajoryu,0.2873,0
日韓,ajq,0.2951,0
早已,ajsu,0.5382,0
早已經,ajsuvm,0.3005,0
早期,ajtb,0.6240,0
早前,ajtn,0.2548,0
早戀,ajvp,0.2518,0
早點,ajwr,0.4468,0
闡述,ajyd,0.4173,0
闡述了,ajydnn,0.2563,0
早熟,ajyf,0.2531,0
早上,ajym,0.5471,0
早些,ajym,0.2625,0
早上起來,ajymgudo,0.2589,0
早些年,ajymoq,0.2583,0
早上好,ajymvd,0.2614,0
聞言,ajyr,0.2483,0
早就,ajyu,0.5660,0
闢謠,ajyu,0.2738,0
早說,ajyu,0.2547,0
早餐,ajyv,0.4120,0
早於,ajyy,0.2499,0
映射,akhi,0.3363,0
閔行,akhn,0.2627,0
映像,akoo,0.2897,0
映泰,akqe,0.2491,0
即日,ala,0.2514,0
即時,alai,0.3358,0
即是,alao,0.3785,0
即爲,albf,0.3267,0
即用,albq,0.2501,0
日版,ale,0.2709,0
即興,alhc,0.2962,0
即成,alis,0.2487,0
即在,alkg,0.2623,0
昂貴,allc,0.3633,0
閘北,allp,0.2507,0
即可,almr,0.6790,0
即係,alof,0.7980,1
即使,alok,0.7007,0
即便,alok,0.6082,0
即使是,alokao,0.5449,0
即便是,alokao,0.4951,0
即使沒有,alokeekb,0.2739,0
即使有,alokkb,0.2941,0
即使你,alokof,0.3751,0
即便如此,alokvryp,0.3060,0
即使這樣,alokyrde,0.2488,0
即位,alot,0.2777,0
即將,alvi,0.5159,0
即將到來,alvimndo,0.2568,0
即刻,alyn,0.7080,0
昂達,alyq,0.2561,0
日曆,ama,0.3548,0
星星,amam,0.3812,0
星巴克,amauju,0.4095,0
星河,amer,0.2479,0
星光,amfu,0.2768,0
日至,amg,0.2777,0
星系,amhf,0.3602,0
星艦,amht,0.2561,0
星座,amig,0.3229,0
暨南大學,amjjkhd,0.2478,0
星空,amjm,0.3663,0
星球,amme,0.4464,0
星球大戰,ammekri,0.2778,0
星球上,ammeym,0.2669,0
星雲,ammi,0.2705,0
星辰,ammv,0.2817,0
星際,amnf,0.3793,0
星際爭霸,amnfbdmb,0.2626,0
星際迷航,amnfydhn,0.2588,0
閾值,amom,0.2934,0
星戰,amri,0.2541,0
星期,amtb,0.5134,0
星期日,amtba,0.2593,0
星期一,amtbm,0.2977,0
星期天,amtbmk,0.2979,0
星期五,amtbmm,0.2865,0
星期三,amtbmm,0.2641,0
星期二,amtbmm,0.2634,0
星期四,amtbwc,0.2635,0
星期六,amtbyc,0.2970,0
日元,amu,0.3479,0
日電,amu,0.2929,0
星級,amve,0.2707,0
星級酒店,amveewir,0.2488,0
門鎖,ancc,0.2501,0
日子,and,0.5535,0
門禁,andf,0.2518,0
門檻,andt,0.5688,0
日子裏,andyv,0.2907,0
門派,anev,0.3017,0
門類,anfc,0.2644,0
門的,anhi,0.2630,0
門衛,anhn,0.2539,0
門戶,anhs,0.3234,0
門戶網站,anhsvvyr,0.2857,0
門店,anir,0.4218,0
門窗,anje,0.2715,0
門票,anmf,0.3757,0
門面,anml,0.2730,0
門下,anmy,0.2495,0
剔除,annd,0.2965,0
門外,anny,0.3059,0
門口,anr,0.4912,0
門路,anrr,0.2485,0
門前,antn,0.3147,0
門將,anvi,0.3376,0
門市,anyb,0.2534,0
門診,anyh,0.3477,0
門上,anym,0.2516,0
門道,anyu,0.2581,0
是最,aoae,0.4557,0
是最好的,aoaevdhi,0.4009,0
是時候,aoaiok,0.2946,0
閃閃,aoao,0.2561,0
閃閃發光,aoaonefu,0.2497,0
日內,aob,0.2917,0
是受,aobe,0.2572,0
是愛,aobe,0.2524,0
是爲,aobf,0.3740,0
是爲了,aobfnn,0.6071,0
是用,aobq,0.4541,0
是用來,aobqdo,0.3690,0
是目前,aobutn,0.3592,0
日貨,aoc,0.2534,0
是錯,aoca,0.2547,0
是錯的,aocahi,0.3434,0
是針對,aocjti,0.3042,0
是極其,aodmtc,0.2646,0
是想,aodp,0.3395,0
是沒有,aoeekb,0.5052,0
閃爍,aofd,0.2938,0
閃耀,aofg,0.2734,0
閃光,aofu,0.2913,0
閃光燈,aofuft,0.2836,0
閃光點,aofuwr,0.2648,0
是當時,aofwai,0.2943,0
是種,aohg,0.3697,0
是第一個,aohhmor,0.2645,0
是我,aohi,0.6284,0
是我的,aohihi,0.3351,0
是我自己,aohihusu,0.2805,0
是我們,aohion,0.4840,0
是我國,aohiwm,0.2815,0
是所有,aohlkb,0.3229,0
是利用,aohnbq,0.2582,0
是從,aoho,0.5135,0
歇息,aohp,0.2551,0
閃動,aohs,0.2524,0
是看,aohu,0.2528,0
是自己,aohusu,0.4002,0
是很,aohv,0.4671,0
是很多,aohvni,0.2902,0
是靠,aohy,0.3584,0
是真,aojc,0.3918,0
是真的,aojchi,0.5891,0
是真的嗎,aojchirf,0.3221,0
是真正,aojcmm,0.2591,0
是專門,aojian,0.2577,0
是它,aojp,0.2690,0
是老,aojp,0.2502,0
是大,aok,0.2512,0
是有,aokb,0.5878,0
是有的,aokbhi,0.2904,0
是有限,aokbnv,0.3090,0
閃存,aokd,0.2614,0
是在,aokg,0.6666,0
是被,aole,0.4190,0
是由,aolw,0.5654,0
是中國,aolwm,0.4104,0
是中國人,aolwmo,0.2682,0
是由於,aolwyy,0.3204,0
是非,aoly,0.3155,0
是非常,aolyfb,0.5398,0
是一,aom,0.2844,0
是一門,aoman,0.3180,0
是一樣的,aomdehi,0.4719,0
是一本,aomdm,0.2749,0
是不,aomf,0.4097,0
是不是,aomfao,0.7242,0
是不是真的,aomfaojchi,0.3193,0
是不是有,aomfaokb,0.2684,0
是不是可以,aomfaomrvo,0.2575,0
是不同的,aomfbrhi,0.3526,0
是不能,aomfip,0.3639,0
是不需要,aomfmlmv,0.2795,0
是不可能,aomfmrip,0.4641,0
是不對的,aomftihi,0.2859,0
是一款,aomgo,0.4287,0
是一種,aomhg,0.6857,0
是一所,aomhl,0.2666,0
是一座,aomig,0.2579,0
是一家,aomjo,0.3832,0
是一項,aommc,0.2992,0
是一致的,aommkhi,0.2974,0
是一名,aomnr,0.3453,0
是一條,aomod,0.2686,0
是一隻,aomoe,0.2624,0
是一件,aomoq,0.4305,0
是一個,aomor,0.7389,0
是一個非常,aomorlyfb,0.3456,0
是一個人,aomoro,0.2754,0
是一位,aomot,0.3845,0
是否,aomr,0.7356,0
是否符合,aomrhior,0.2840,0
是否能,aomrip,0.3838,0
是否能夠,aomripnr,0.2977,0
是否存在,aomrkdkg,0.3313,0
是否在,aomrkg,0.2642,0
是否正確,aomrmmmg,0.2695,0
是否會,aomroa,0.3744,0
是可以,aomrvo,0.5650,0
閃電,aomu,0.3412,0
閃現,aomu,0.2774,0
是要,aomv,0.5196,0
是一部,aomyl,0.3553,0
是小,aonc,0.2556,0
是多少,aonifh,0.4198,0
是多麼,aoniii,0.3761,0
是人,aoo,0.3198,0
閃人,aoo,0.2624,0
是會,aooa,0.3574,0
是他,aood,0.4739,0
是他們,aoodon,0.3509,0
是假,aooe,0.2502,0
是假的,aooehi,0.3583,0
是你,aoof,0.5044,0
是無,aoof,0.2913,0
是人類,aoofc,0.3457,0
是你自己,aoofhusu,0.2734,0
是什麼,aoojii,0.7144,0
是什麼樣,aoojiide,0.2528,0
是什麼樣子,aoojiidend,0.2718,0
是什麼原因,aoojiimfwk,0.2717,0
是什麼意思,aoojiiypwp,0.3921,0
是做,aook,0.3436,0
是使用,aookbq,0.2591,0
是您,aoop,0.2513,0
是怎麼回事,aoopiiwrjn,0.3375,0
是件,aooq,0.2736,0
是個,aoor,0.7196,0
是個人,aooro,0.3001,0
是個什麼,aoorojii,0.2642,0
是位,aoot,0.2480,0
是必然,aophbf,0.3132,0
是世界上,aoptwlym,0.2915,0
是指,aoqa,0.6058,0
是把,aoqu,0.3697,0
是按,aoqv,0.2867,0
是按照,aoqvaf,0.3119,0
是嗎,aorf,0.3993,0
是唯一,aorgm,0.3559,0
是呀,aorh,0.3797,0
是哪,aorl,0.2703,0
是哪個,aorlor,0.3299,0
是哪些,aorlym,0.2570,0
是啊,aorr,0.5637,0
是啥,aorr,0.3781,0
是另一個,aorsmor,0.2545,0
是吧,aoru,0.3890,0
是跟,aorv,0.2721,0
是那種,aoslhg,0.3417,0
是那個,aoslor,0.2815,0
是典型,aotcmg,0.2942,0
是基礎,aotgmo,0.2614,0
是基於,aotgyy,0.3989,0
是對,aoti,0.5547,0
是對的,aotihi,0.2553,0
歇斯底里,aotlimwg,0.2509,0
閃着,aotu,0.2512,0
是出於,aouuyy,0.2931,0
是她,aovd,0.3322,0
是好,aovd,0.2674,0
是好事,aovdjn,0.3261,0
是將,aovi,0.3221,0
是以,aovo,0.5130,0
是給,aovr,0.3216,0
是如此,aovryp,0.3127,0
是因爲,aowkbf,0.6969,0
是因爲你,aowkbfof,0.2653,0
是國內,aowmob,0.3340,0
是誰,aoyg,0.6002,0
閃避,aoyj,0.2506,0
閃亮,aoyn,0.2707,0
是該,aoyo,0.2594,0
閃過,aoyr,0.2708,0
是這樣的,aoyrdehi,0.5358,0
是這麼,aoyrii,0.2700,0
是這個,aoyror,0.3569,0
是說,aoyu,0.4326,0
是讓,aoyv,0.2869,0
昆明,apab,0.3529,0
昆明市,apabyb,0.2562,0
曬曬,apap,0.2491,0
昆汀,apen,0.2746,0
悶熱,apgf,0.2574,0
昵稱,aphb,0.2774,0
