text,jyutping
不由自主,bat1 jau4 zi6 zyu2
不留,bat1 lau1
不當,bat1 dong3
不盡,bat1 zeon6
不知不覺,bat1 zi1 bat1 gok3
不知所措,bat1 zi1 so2 cou3
不禁,bat1 gam3
不符,bat1 fu4
不等,bat1 dang2
不管,bat1 gun2
不粘鍋,bat1 nim1 wo1
不約而同,bat1 joek3 ji4 tung4
不絕,bat1 zyut6
不給力,bat1 kap1 lik6
不經意,bat1 ging1 ji3
不羈,bat1 gei1
不育,bat1 juk6
不至於,bat1 zi3 jyu1
不良,bat1 loeng4
不良反應,bat1 loeng4 faan2 jing3
不菲,bat1 fei1
不行,bat1 hang4
不要,bat1 jiu3
不要緊,bat1 jiu3 gan2
不見,bat1 gin3
不見得,bat1 gin3 dak1
不覺,bat1 gok3
不言而喻,bat1 jin4 ji4 jyu6
不計其數,bat1 gai3 kei4 sou3
不許,bat1 heoi2
不詳,bat1 coeng4
不請自來,bat1 cing2 zi6 loi4
不論,bat1 leon6
不負責任,bat1 fu6 zaak3 jam6
不足,bat1 zuk1
不過,bat1 gwo3
不適,bat1 sik1
不遺餘力,bat1 wai4 jyu4 lik6
不錯,bat1 co3
不鏽鋼,bat1 sau3 gong3
不雅,bat1 ngaa5
不顧,bat1 gu3
不顧一切,bat1 gu3 jat1 cai3
丏,min5
丐,goi3
丑,cau2
丒,ng5
且,ce2
丕,pei1
世,sai3
世上,sai3 soeng6
世事,sai3 si6
世人,sai3 jan4
世代,sai3 doi6
世俗,sai3 zuk6
世嘉,sai3 gaa1
世家,sai3 gaa1
世界,sai3 gaai3
世界上,sai3 gaai3 soeng6
世界盃,sai3 gaai3 bui1
世界級,sai3 gaai3 kap1
世界觀,sai3 gaai3 gun1
世紀,sai3 gei2
世貿,sai3 mau6
世道,sai3 dou6
世間,sai3 gaan1
丗,sai3
丘,jau1
丘陵,jau1 ling4
丙,bing2
丞,cing2
丞相,sing4 soeng3
丟,diu1
丟失,diu1 sat1
丟掉,diu1 diu6
丟棄,diu1 hei3
丟臉,diu1 lim5
丠,kei3
両,loeng2
丣,jau5
並,bing3
並且,bing6 ce2
並列,bing6 lit6
並存,bing6 cyun4
並沒有,bing6 mut6 jau5
並無,bing6 mou4
並用,bing6 jung6
並肩,bing6 gin1
並重,bing6 zung6
並非,bing6 fei1
丨,gwan2
丩,gau2
丫,aa1
丫頭,aa1 tau4
丫鬟,aa1 waan4
丬,baan6
中,zung1
中上,zung1 soeng6
中世紀,zung1 sai3 gei2
中介,zung1 gaai3
中位數,zung1 wai2 sou3
中共,zung1 gung6
中午,zung1 ng5
中南海,zung1 naam4 hoi2
中印,zung1 jan3
中原,zung1 jyun4
中古,zung1 gu2
中國,zung1 gwok3
中國大陸,zung1 gwok3 daai6 luk6
中國文化,zung1 gwok3 man4 faa3
中型,zung1 jing4
中場,zung1 coeng4
中外,zung1 ngoi6
中大,zung1 daai6
中央,zung1 joeng1
中央空調,zung1 joeng1 hung1 tiu4
中央銀行,zung1 joeng1 ngan4 hong4
中子,zung1 zi2
中學,zung1 hok6
中學生,zung1 hok6 saang1
中山,zung1 saan1
中巴,zung1 baa1
中年,zung1 nin4
中庸,zung1 jung4
中式,zung1 sik1
中心,zung1 sam1
中性,zung1 sing3
中意,zung1 ji3
中成藥,zung1 sing4 joek6
中招,zung3 ziu1
中指,zung1 zi2
中文,zung1 man2
中斷,zung1 dyun6
中方,zung1 fong1
中旬,zung1 ceon4
中暑,zung3 syu2
中期,zung1 kei4
中東,zung1 dung1
中標,zung3 biu1
中樞,zung1 syu1
中歐,zung1 au1
中止,zung1 zi2
中毒,zung1 duk6
中游,zung1 jau4
中獎,zung3 zoeng2
中環,zung1 waan4
中產,zung1 caan2
中秋,zung1 cau1
中秋節,zung1 cau1 zit3
中立,zung1 laap6
中等,zung1 dang2
中級,zung1 kap1
中線,zung1 sin3
中肯,zung1 hang2
中興,zung1 hing1
中草藥,zung1 cou2 joek6
中華,zung1 waa4
中華文化,zung1 waa4 man4 faa3
中華民國,zung1 waa4 man4 gwok3
中華民族,zung1 waa4 man4 zuk6
中藥,zung1 joek6
中衛,zung1 wai6
中規中矩,zung1 kwai1 zung1 geoi2
中路,zung1 lou6
中轉,zung1 zyun2
中途,zung1 tou4
中部,zung1 bou6
中醫,zung1 ji1
中鋒,zung1 fung1
中間,zung1 gaan1
中間件,zung1 gaan1 gin6
中風,zung3 fung1
中餐,zung1 caan1
丮,gik1
丯,gai3
丰,fung1
丱,gwaan3
串,cyun3
串口,cyun3 hau2
丳,caan2
丵,zok6
丶,zyu2
丷,baat3
丸,jyun2
丸子,jyun2 zi2
丹,daan1
丹麥,daan1 mak6
主,zyu2
主人,zyu2 jan4
主任,zyu2 jam6
主公,zyu2 gung1
主力,zyu2 lik6
主動,zyu2 dung6
主唱,zyu2 coeng3
主場,zyu2 coeng4
主婦,zyu2 fu5
主子,zyu2 zi2
主宰,zyu2 zoi2
主導,zyu2 dou6
主帥,zyu2 seoi3
主席,zyu2 zik6
主張,zyu2 zoeng1
主意,zyu2 ji3
主打,zyu2 daa2
主持,zyu2 ci4
主持人,zyu2 ci4 jan4
主播,zyu2 bo3
主攻,zyu2 gung1
主教,zyu2 gaau3
主旨,zyu2 zi2
主板,zyu2 baan2
主機,zyu2 gei1
主權,zyu2 kyun4
主治,zyu2 zi6
主流,zyu2 lau4
主演,zyu2 jin2
主管,zyu2 gun2
主線,zyu2 sin3
主編,zyu2 pin1
主義,zyu2 ji6
主要,zyu2 jiu3
主見,zyu2 gin3
主觀,zyu2 gun1
主角,zyu2 gok3
主語,zyu2 jyu5
主講,zyu2 gong2
主辦,zyu2 baan6
主隊,zyu2 deoi2
主題,zyu2 tai4
主題曲,zyu2 tai4 kuk1
主食,zyu2 sik6
主體,zyu2 tai2
丼,dam2
丿,pit3
乀,fat1
乁,ji4
乂,ngaai6
乃,naai5
久,gau2
久而久之,gau2 ji4 gau2 zi1
久違,gau2 wai4
久遠,gau2 jyun5
乆,gau2
乇,tok3
么,jiu1
之,zi1
之一,zi1 jat1
之上,zi1 soeng6
之下,zi1 haa6
之中,zi1 zung1
之內,zi1 noi6
之列,zi1 lit6
之前,zi1 cin4
之外,zi1 ngoi6
之後,zi1 hau6
之所以,zi1 so2 ji5
之間,zi1 gaan1
之際,zi1 zai3
之類,zi1 leoi2
之餘,zi1 jyu4
乍,zaa3
乎,fu1
乏,fat6
乏力,fat6 lik6
乏味,fat6 mei6
乑,jam4
乒,bing1
乒乓,bing1 bam1
乒乓球,bing1 bam1 kau4
乓,bam1
乕,fu2
乖,gwaai1
乖乖,gwaai1 gwaai1
乖巧,gwaai1 haau2
乗,sing4
乘,sing4
乘坐,sing4 co5
乘客,sing4 haak3
乘機,sing4 gei1
乙,jyut3
乙醇,jyut6 seon4
乚,jyut3
乜,mat1
九,gau2
九天,gau2 tin1
九州,gau2 zau1
九成,gau2 sing4
九月,gau2 jyut6
九龍,gau2 lung4
乞,hat1
乞丐,hat1 koi3
乞討,hat1 tou2
也,jaa5
也許,jaa5 heoi2
乢,goi3
乣,gau2
乤,haa6
乥,fu4
乧,dau2
乨,ci2
乩,gei1
乪,kek6
乫,gaa1
乬,geoi6
乭,sek6
乮,maau5
乯,fu4
乲,ci3
乳,jyu5
乳房,jyu5 fong4
乳汁,jyu5 zap1
乳液,jyu5 jik6
乳溝,jyu5 kau3
乳腺,jyu5 sin3
乳頭,jyu5 tau4
乴,zyut6
乵,jim5
乶,fu2
乷,saa1
乸,naa2
乹,gon1
乺,so2
乻,jyu1
乼,zyu3
乽,ze2
乾,gon1
乾坤,kin4 kwan1
乾旱,gon1 hon5
乾洗,gon1 sai2
乾淨,gon1 zeng6
乾燥,gon1 cou3
乾脆,gon1 ceoi3
乾貨,gon1 fo3
乿,zi6
亀,gwai1
亁,gon1
亂,lyun6
亂七八糟,lyun6 cat1 baat3 zou1
亂世,lyun6 sai3
亂倫,lyun6 leon4
亂碼,lyun6 maa5
亂象,lyun6 zoeng6
亃,leon6
亄,ji3
亅,kyut3
了,laa1
了不起,liu5 bat1 hei2
了結,liu5 git3
了解,liu5 gaai2
亇,ding1
予,jyu4
予以,jyu5 ji5
亊,si6
事,si6
事事,si6 si6
事件,si6 gin2
事例,si6 lai6
事先,si6 sin1
事前,si6 cin4
事務,si6 mou6
事務所,si6 mou6 so2
事半功倍,si6 bun3 gung1 pui5
事宜,si6 ji4
事實,si6 sat6
事實上,si6 sat6 soeng6
事後,si6 hau6
事情,si6 cing4
事態,si6 taai3
事故,si6 gu3
事業,si6 jip6
事物,si6 mat6
事發,si6 faat3
事跡,si6 zik1
事蹟,si6 zik1
事關,si6 gwaan1
事項,si6 hong6
二,ji6
二叔,ji6 suk1
二奶,ji6 naai1
二戰,ji6 zin3
二手,ji6 sau2
二更,ji6 gaang1
二月,ji6 jyut6
二次元,ji6 ci3 jyun4
二氧化碳,ji6 joeng5 faa3 taan3
二等,ji6 dang2
二維碼,ji6 wai4 maa5
二胡,ji6 wu2
二話不說,ji6 waa6 bat1 syut3
二進制,ji6 zeon3 zai3
亍,cuk1
于,jyu1
亐,jyu1
云,wan4
互,wu6
互助,wu6 zo6
互動,wu6 dung6
互惠,wu6 wai6
互換,wu6 wun6
互相,wu6 soeng1
互聯網,wu6 lyun4 mong5
互通,wu6 tung1
亓,kei4
五,ng5
五代,ng5 doi6
五台山,ng5 toi4 saan1
五官,ng5 gun1
五星級,ng5 sing1 kap1
五月,ng5 jyut6
五筆,ng5 bat1
五花八門,ng5 faa1 baat3 mun4
五花肉,ng5 faa1 juk6
五行,ng5 hang4
五道口,ng5 dou6 hau2
五金,ng5 gam1
井,zeng2
亖,sei3
亗,seoi3
亙,gang2
些,sai3
亜,aa3
亝,cai4
亞,aa3
亞太,aa3 taai3
亞洲,aa3 zau1
亞裔,aa3 jeoi6
亞軍,aa3 gwan1
亞運會,aa3 wan6 wui2
亟,gik1
亠,tau4
亡,mong1
亡國,mong4 gwok3
亡靈,mong4 ling4
亢,gong1
亢奮,kong3 fan5
亣,daai6
交,gaau1
交代,gaau1 doi6
交出,gaau1 ceot1
交匯,gaau1 wui6
交叉,gaau1 caa1
交友,gaau1 jau5
交往,gaau1 wong5
交待,gaau1 doi6
交情,gaau1 cing4
交戰,gaau1 zin3
交手,gaau1 sau2
交接,gaau1 zip3
交換,gaau1 wun6
交易,gaau1 jik6
交易所,gaau1 jik6 so2
交易日,gaau1 jik6 jat6
交易者,gaau1 jik6 ze2
交替,gaau1 tai3
交流,gaau1 lau4
交涉,gaau1 sip3
交界,gaau1 gaai3
交織,gaau1 zik1
交談,gaau1 taam4
交通,gaau1 tung1
交通工具,gaau1 tung1 gung1 geoi6
交配,gaau1 pui3
交鋒,gaau1 fung1
交錯,gaau1 co3
交際,gaau1 zai3
交集,gaau1 zaap6
交響曲,gaau1 hoeng2 kuk1
交響樂,gaau1 hoeng2 ngok6
亥,hoi6
亦,jik6
亨,hang1
亪,bin3
享,hoeng2
享受,hoeng2 sau6
享有,hoeng2 jau5
享樂,hoeng2 lok6
享用,hoeng2 jung6
享譽,hoeng2 jyu6
京,ging1
京劇,ging1 kek6
京城,ging1 sing4
京都,ging1 dou1
亭,ting4
亮,loeng6
亮出,loeng6 ceot1
亮度,loeng6 dou6
亮相,loeng6 soeng3
亮麗,loeng6 lai6
亯,hoeng2
亰,ging1
亱,je6
亳,bok3
亴,jau6
亶,daan6
亷,lim4
亹,mei5
人,jan2
人世,jan4 sai3
人中,jan4 zung1
人事,jan4 si6
人事部門,jan4 si6 bou6 mun4
人云亦云,jan4 wan4 jik6 wan4
人人,jan4 jan4
人們,jan4 mun4
人像,jan4 zoeng6
人力,jan4 lik6
人力資源,jan4 lik6 zi1 jyun4
人參,jan4 sam1
人口,jan4 hau2
人名,jan4 meng2
人命,jan4 meng6
人品,jan4 ban2
人員,jan4 jyun4
人均,jan4 gwan1
人均收入,jan4 gwan1 sau1 jap6
人士,jan4 si6
人壽,jan4 sau6
人妖,jan4 jiu2
人家,jan4 gaa1
人工,jan4 gung1
人工智能,jan4 gung1 zi3 nang4
人影,jan4 jing2
人心,jan4 sam1
人性,jan4 sing3
人性化,jan4 sing3 faa3
人情,jan4 cing4
人情世故,jan4 cing4 sai3 gu3
人手,jan4 sau2
人才,jan4 coi4
人數,jan4 sou3
人文,jan4 man4
人格,jan4 gaak3
人格魅力,jan4 gaak3 mei6 lik6
人權,jan4 kyun4
人次,jan4 ci3
人民,jan4 man4
人民幣,jan4 man4 bai6
人氣,jan4 hei3
人流,jan4 lau4
人渣,jan4 zaa1
人物,jan4 mat2
人生,jan4 sang1
人生觀,jan4 sang1 gun1
人種,jan4 zung2
人稱,jan4 cing1
人緣,jan4 jyun4
人羣,jan4 kwan4
人肉,jan4 juk6
人脈,jan4 mak6
人蔘,jan4 sam1
人行道,jan4 hang4 dou6
人設,jan4 cit3
人質,jan4 zi3
人身,jan4 san1
人身攻擊,jan4 san1 gung1 gik1
人造,jan4 zou6
人道,jan4 dou6
人選,jan4 syun2
人間,jan4 gaan1
人際,jan4 zai3
人際關係,jan4 zai3 gwaan1 hai6
人頭,jan4 tau4
人類,jan4 leoi6
人馬,jan4 maa5
人體,jan4 tai2
亻,jan4
亼,hau2
亽,zaap6
亾,mong4
什,sam6
什麼,sam6 mo1
什麼鬼,sam6 mo1 gwai2
仁,jan4
仁兄,jan4 hing1
仁慈,jan4 ci4
仂,lak6
仃,ding1
仄,zak1
仆,fu6
仇,cau4
仇人,sau4 jan4
仇恨,sau4 han6
仈,baat3
仉,zoeng2
今,gam1
今夜,gam1 je6
今天,gam1 tin1
今年,gam1 nin4
今後,gam1 hau6
今日,gam1 jat6
今早,gam1 zou2
今晚,gam1 maan5
今朝,gam1 ziu1
今次,gam1 ci3
今生,gam1 sang1
介,gaa3
介入,gaai3 jap6
介意,gaai3 ji3
介紹,gaai3 siu6
仌,bing1
仍,jing4
仍然,jing4 jin4
仍舊,jing4 gau6
仏,fat6
仐,tou1
仒,bing1
仔,zai2
仔仔,zai4 zai2
仔細,zi2 sai3
仕,si6
仕途,si6 tou4
他,taa1
他人,taa1 jan4
他們,taa1 mun4
他鄉,taa1 hoeng1
仗,zoeng3
付,fu6
付出,fu6 ceot1
付款,fu6 fun2
付費,fu6 fai3
仙,sin1
仙人,sin1 jan4
仙人掌,sin1 jan4 zoeng2
仙境,sin1 ging2
仙女,sin1 neoi2
仚,hin1
仛,tok3
仜,hung4
仝,tung4
仞,jan6
仟,cin1
仠,gon2
仡,gat1
仢,bok6
代,doi6
代價,doi6 gaa3
代償,doi6 soeng4
代入感,doi6 jap6 gam2
代名詞,doi6 ming4 ci4
代工,doi6 gung1
代數,doi6 sou3
代替,doi6 tai3
代溝,doi6 kau1
代理,doi6 lei5
代碼,doi6 maa5
代號,doi6 hou6
代表,doi6 biu2
代表作,doi6 biu2 zok3
代言,doi6 jin4
代言人,doi6 jin4 jan4
代購,doi6 kau3
代辦,doi6 baan6
令,lim1
令人髮指,ling6 jan4 faat3 zi2
令你,ling6 nei5
以,ji5
以上,ji5 soeng6
以下,ji5 haa6
以來,ji5 loi4
以便,ji5 bin6
以免,ji5 min5
以內,ji5 noi6
以前,ji5 cin4
以及,ji5 kap6
以外,ji5 ngoi6
以往,ji5 wong5
以後,ji5 hau6
以示,ji5 si6
以至,ji5 zi3
以至於,ji5 zi3 jyu1
以致,ji5 zi3
以色列,ji5 sik1 lit6
仦,caau3
仧,coeng4
仨,saa1
仩,coeng4
仫,mo1
仭,jan6
仮,faan2
仯,caau3
仰,joeng5
仰慕,joeng5 mou6
仰望,joeng5 mong6
仰臥起坐,joeng5 ngo6 hei2 co5
仱,ging1
仲,zung6
仲有,zung6 jau5
仲裁,zung6 coi4
仳,pei2
仴,jyut6
仵,ng5
件,gin6
价,gaa3
仸,jiu2
仹,fung1
仺,cong1
任,jam4
任何,jam6 ho4
任務,jam6 mou6
任務欄,jam6 mou6 laan4
任命,jam6 ming6
任性,jam6 sing3
任意,jam6 ji3
任教,jam6 gaau3
任期,jam6 kei4
任由,jam6 jau4
任職,jam6 zik1
仼,wong4
份,ban1
份子,fan6 zi2
份量,fan6 loeng6
份額,fan6 ngaak2
仾,dai1
仿,fong2
仿製,fong2 zai3
伀,zung1
企,kei2
企劃,kei5 waak6
企圖,kei5 tou4
企業,kei5 jip6
企業家,kei5 jip6 gaa1
企鵝,kei5 ngo2
伂,pui3
伃,jyu4
伄,diu3
伅,dan6
伆,mat6
伇,jik6
伈,sam2
伉,kong3
伊,ji1
伊人,ji1 jan4
伊拉克,ji1 laai1 hak1
伊斯蘭,ji1 si1 laan4
伊斯蘭教,ji1 si1 laan4 gaau3
伊朗,ji1 long5
伋,gap1
伌,aai3
伍,ng5
伎,gei6
伏,buk6
伏擊,fuk6 gik1
伏特加,fuk6 dak6 gaa1
伏筆,fuk6 bat1
伐,fat6
休,heoi2
休假,jau1 gaa3
休克,jau1 hak1
休學,jau1 hok6
休息,jau1 sik1
休整,jau1 zing2
休眠,jau1 min4
休閒,jau1 haan4
休養,jau1 joeng5
伒,gan3
伓,pei1
伔,daam6
伕,fu1
伖,tong2
优,jau1
伙,fo2
伙食,fo2 sik6
伜,ceoi3
伝,cyun4
伢,ngaa4
伨,seon1
伩,seon3
伬,ce2
伭,jin4
伮,nou5
伯,baa3
伯伯,baak3 baak3
伯樂,baak3 lok6
伯爵,baak3 zoek3
估,gu2
估值,gu2 zik6
估價,gu2 gaa3
估算,gu2 syun3
估計,gu2 gai3
伱,nei5
伲,nei4
伳,sit3
伴,bun6
伴侶,bun6 leoi5
伴奏,bun6 zau3
伴娘,bun6 noeng2
伴隨,bun6 ceoi4
伵,gwik1
